"iteration","price x price","brand2 x price","brand2 x brand2","brand3 x price","brand3 x brand2","brand3 x brand3","ff2 x price","ff2 x brand2","ff2 x brand3","ff2 x ff2","ff3 x price","ff3 x brand2","ff3 x brand3","ff3 x ff2","ff3 x ff3","feat2 x price","feat2 x brand2","feat2 x brand3","feat2 x ff2","feat2 x ff3","feat2 x feat2","feat3 x price","feat3 x brand2","feat3 x brand3","feat3 x ff2","feat3 x ff3","feat3 x feat2","feat3 x feat3"
1,0.5712579022,0,2.082417036,0,0,1.955748584,0,0,0,2.171693816,0,0,0,0,2.0156613,0,0,0,0,0,2.056461816,0,0,0,0,0,0,2.056382881
2,0.5427355295,0,2.226012373,0,0,2.10150454,0,0,0,2.295233258,0,0,0,0,2.131528482,0,0,0,0,0,2.132351863,0,0,0,0,0,0,2.046323162
3,0.6014099813,0,2.020486365,0,0,2.135866242,0,0,0,2.430799503,0,0,0,0,2.041405095,0,0,0,0,0,2.08670453,0,0,0,0,0,0,2.155146821
4,0.6169898967,0,2.152177078,0,0,2.005225377,0,0,0,2.546799669,0,0,0,0,2.026703176,0,0,0,0,0,1.988637293,0,0,0,0,0,0,2.141184042
5,0.5889269195,0,2.007462775,0,0,2.001733955,0,0,0,2.359898056,0,0,0,0,2.00729271,0,0,0,0,0,1.817637365,0,0,0,0,0,0,2.224573152
6,0.6142273697,0,2.116060673,0,0,1.946191843,0,0,0,2.364697799,0,0,0,0,2.065622047,0,0,0,0,0,2.063910286,0,0,0,0,0,0,1.925977823
7,0.6140166285,0,2.049017012,0,0,1.889374286,0,0,0,2.28197011,0,0,0,0,2.266344768,0,0,0,0,0,2.203450413,0,0,0,0,0,0,2.149605412
8,0.5933446559,0,2.078575601,0,0,1.975865608,0,0,0,2.448756013,0,0,0,0,2.227061153,0,0,0,0,0,2.144185185,0,0,0,0,0,0,2.043110707
9,0.6060475986,0,2.184783045,0,0,2.006155392,0,0,0,2.393906541,0,0,0,0,2.389911859,0,0,0,0,0,2.03972192,0,0,0,0,0,0,2.201457835
10,0.602729394,0,2.066883863,0,0,1.980650465,0,0,0,2.417204273,0,0,0,0,2.369716472,0,0,0,0,0,2.339624221,0,0,0,0,0,0,2.103956425
11,0.6025058722,0,1.962716608,0,0,2.106474593,0,0,0,2.616278843,0,0,0,0,2.24809783,0,0,0,0,0,2.090925822,0,0,0,0,0,0,2.102627529
12,0.625946635,0,2.047081165,0,0,2.29862083,0,0,0,2.306755333,0,0,0,0,2.269033216,0,0,0,0,0,2.027385251,0,0,0,0,0,0,2.139845884
13,0.5834503166,0,2.023681854,0,0,2.179580074,0,0,0,2.69522595,0,0,0,0,2.220697412,0,0,0,0,0,2.089094758,0,0,0,0,0,0,2.321559814
14,0.5962798332,0,1.902764037,0,0,2.185669788,0,0,0,2.46437747,0,0,0,0,2.410757367,0,0,0,0,0,1.986696476,0,0,0,0,0,0,2.287607789
15,0.5831024093,0,1.918691677,0,0,2.23630668,0,0,0,2.46262906,0,0,0,0,2.201192001,0,0,0,0,0,2.004505463,0,0,0,0,0,0,2.283249855
16,0.5792000256,0,2.001896015,0,0,2.30684846,0,0,0,2.403500289,0,0,0,0,2.36322262,0,0,0,0,0,2.089609555,0,0,0,0,0,0,2.151580815
17,0.6031210686,0,2.046931363,0,0,2.409628417,0,0,0,2.292919488,0,0,0,0,2.278133908,0,0,0,0,0,1.929601929,0,0,0,0,0,0,2.141059879
18,0.5778014894,0,1.998187112,0,0,2.446867371,0,0,0,2.452989048,0,0,0,0,2.255177835,0,0,0,0,0,2.070869763,0,0,0,0,0,0,2.256776704
19,0.5875512851,0,1.956228843,0,0,2.267039065,0,0,0,2.47188186,0,0,0,0,2.352547474,0,0,0,0,0,1.915571501,0,0,0,0,0,0,2.097704626
20,0.6237725197,0,1.857313198,0,0,2.412155873,0,0,0,2.329814906,0,0,0,0,2.162631646,0,0,0,0,0,2.114344182,0,0,0,0,0,0,2.213430151
21,0.6064317993,0,1.946151421,0,0,2.293965374,0,0,0,2.007718355,0,0,0,0,2.43760359,0,0,0,0,0,2.024405921,0,0,0,0,0,0,2.193661129
22,0.6999481578,0,2.079200691,0,0,2.216270683,0,0,0,2.437053193,0,0,0,0,2.396633845,0,0,0,0,0,2.098668293,0,0,0,0,0,0,2.185910355
23,0.6125704993,0,2.033794603,0,0,2.38406519,0,0,0,2.169749763,0,0,0,0,2.455887681,0,0,0,0,0,2.11816935,0,0,0,0,0,0,2.276867976
24,0.627003419,0,1.913698341,0,0,2.387015212,0,0,0,2.487466982,0,0,0,0,2.529167294,0,0,0,0,0,2.04198674,0,0,0,0,0,0,2.308096135
25,0.6287743233,0,1.794919748,0,0,2.538025725,0,0,0,2.310962064,0,0,0,0,2.465250254,0,0,0,0,0,1.953218355,0,0,0,0,0,0,2.272061657
26,0.5774443787,0,1.93873738,0,0,2.364787707,0,0,0,2.315454313,0,0,0,0,2.314243475,0,0,0,0,0,2.027939278,0,0,0,0,0,0,2.407523292
27,0.6196854929,0,2.046266085,0,0,2.401697796,0,0,0,2.301569205,0,0,0,0,2.129838012,0,0,0,0,0,1.961505793,0,0,0,0,0,0,2.327498911
28,0.5829046733,0,1.946145735,0,0,2.666865367,0,0,0,2.269256495,0,0,0,0,2.185493725,0,0,0,0,0,2.026068312,0,0,0,0,0,0,2.034623348
29,0.5876314402,0,2.095229927,0,0,2.29924205,0,0,0,2.389964026,0,0,0,0,2.278854044,0,0,0,0,0,2.059927092,0,0,0,0,0,0,2.351604484
30,0.6058501347,0,2.000710339,0,0,2.173529325,0,0,0,2.300507246,0,0,0,0,2.331076009,0,0,0,0,0,2.101416067,0,0,0,0,0,0,2.152251802
31,0.5195677306,0,1.92293054,0,0,2.365849361,0,0,0,2.224022731,0,0,0,0,2.36213681,0,0,0,0,0,1.920889459,0,0,0,0,0,0,2.122070127
32,0.5498777637,0,2.05534108,0,0,2.533031184,0,0,0,2.121238081,0,0,0,0,2.265391171,0,0,0,0,0,2.031060853,0,0,0,0,0,0,2.300015553
33,0.5768341612,0,1.845092576,0,0,2.458968153,0,0,0,2.278910783,0,0,0,0,2.253487236,0,0,0,0,0,1.969500162,0,0,0,0,0,0,2.190761249
34,0.5794038563,0,1.837703892,0,0,2.664970153,0,0,0,2.285973008,0,0,0,0,2.214042444,0,0,0,0,0,1.966777917,0,0,0,0,0,0,2.100494155
35,0.5862518511,0,1.893034546,0,0,2.296763207,0,0,0,2.131043366,0,0,0,0,2.157774787,0,0,0,0,0,1.921838258,0,0,0,0,0,0,2.176813601
36,0.5492076296,0,1.95703861,0,0,2.282843867,0,0,0,2.20756778,0,0,0,0,2.49887468,0,0,0,0,0,1.946147935,0,0,0,0,0,0,2.077281123
37,0.5889330532,0,1.907430773,0,0,2.585936369,0,0,0,2.154729784,0,0,0,0,2.266995416,0,0,0,0,0,2.008573843,0,0,0,0,0,0,2.238849596
38,0.5661122545,0,2.027913729,0,0,2.511698954,0,0,0,2.144611065,0,0,0,0,2.24563508,0,0,0,0,0,1.938092004,0,0,0,0,0,0,2.171284141
39,0.5509065624,0,1.890797821,0,0,2.410730791,0,0,0,2.116854217,0,0,0,0,2.208759714,0,0,0,0,0,1.973289471,0,0,0,0,0,0,2.091204581
40,0.5934523159,0,1.907708979,0,0,2.398412656,0,0,0,2.09900751,0,0,0,0,2.216571302,0,0,0,0,0,1.892115796,0,0,0,0,0,0,2.001515861
41,0.5560043499,0,1.916855741,0,0,2.488718242,0,0,0,1.991629996,0,0,0,0,2.312199529,0,0,0,0,0,1.910441802,0,0,0,0,0,0,2.279855184
42,0.591703779,0,1.893582385,0,0,2.215346501,0,0,0,2.055012108,0,0,0,0,2.321593109,0,0,0,0,0,1.993705204,0,0,0,0,0,0,2.190143424
43,0.5929108501,0,1.837764474,0,0,2.210539445,0,0,0,2.187323452,0,0,0,0,2.319480449,0,0,0,0,0,1.842619465,0,0,0,0,0,0,2.162317913
44,0.5396599261,0,1.829478068,0,0,2.274838401,0,0,0,2.271917008,0,0,0,0,2.384218123,0,0,0,0,0,1.889719095,0,0,0,0,0,0,2.225601983
45,0.5400701855,0,1.944424754,0,0,2.266626881,0,0,0,2.371300168,0,0,0,0,2.335088758,0,0,0,0,0,1.93898098,0,0,0,0,0,0,2.598918345
46,0.5593420931,0,1.896230239,0,0,2.476941744,0,0,0,2.326879538,0,0,0,0,2.537071595,0,0,0,0,0,1.965413476,0,0,0,0,0,0,2.614760122
