Model Name:	Model2	
Number of individuals:	1000	
Number of observations:	10000	
Number of preliminary iterations:	25000	
Number of draws used per individual:	25000	
Random Seed:	1987	
Total iterations:	50000	
Prior Variance:	2	
Degrees of Freedom:	5	
Number of parameters:	16	
Fixed parameters estimated: 
lambda 
gamma1 
gamma2 
sigma1 
sigma2 
zeta1 
zeta2 
tau 
Random Parameters estimated (Distribution): 
price ( N ) 
brand2 ( N ) 
brand3 ( N ) 
ff2 ( N ) 
ff3 ( N ) 
feat2 ( N ) 
feat3 ( N ) 
LV_disturbance ( N ) 


Estimated:	Mon Jun 09 1:02:12 PM 2014	
----------------------------------------------------------- 

Iteration Log-Likelihood RLH Parameter RMS Avg. Variance Acceptance Rate (Normal) Acceptance Rate (Fixed) 	
36500	-9156.501	0.4146699	1.24598	1.424013	0.293	0.42
37000	-9177.161	0.4150051	1.278187	1.510088	0.254	0.42
37500	-9075.182	0.4184915	1.233085	1.384245	0.314	0.3
38000	-9115.802	0.4175289	1.22084	1.38743	0.301	0.23
38500	-9136.056	0.4163704	1.253331	1.431606	0.328	0.36
39000	-9071.414	0.418843	1.29273	1.531355	0.314	0.28
39500	-9206.049	0.4139567	1.297819	1.556407	0.249	0.28
40000	-9091.263	0.417006	1.288124	1.527042	0.319	0.42
40500	-9153.199	0.414748	1.279035	1.504748	0.307	0.33
41000	-9251.91	0.4113187	1.244468	1.42592	0.341	0.33
41500	-9251.41	0.4109681	1.271869	1.489117	0.347	0.3
42000	-9222.687	0.4114872	1.260046	1.448047	0.264	0.32
42500	-9094.111	0.418239	1.322219	1.571619	0.284	0.2
43000	-9100.851	0.4178224	1.271874	1.478952	0.29	0.29
43500	-9483.181	0.4026767	1.227856	1.375861	0.295	0.41
44000	-9111.114	0.4170001	1.234103	1.403124	0.284	0.18
44500	-9199.617	0.4139612	1.269804	1.475604	0.29	0.25
45000	-9321.784	0.4087628	1.22093	1.379021	0.284	0.3
45500	-9203.69	0.4136607	1.281641	1.472277	0.312	0.15
46000	-9170.058	0.4141527	1.258567	1.438088	0.31	0.32
46500	-9125.485	0.4158059	1.268036	1.494259	0.347	0.23
47000	-9117.145	0.4161402	1.264298	1.453006	0.278	0.33
47500	-9297.287	0.4093052	1.202535	1.35638	0.262	0.34
48000	-9201.813	0.4135549	1.211054	1.354045	0.323	0.35
48500	-9262.576	0.4104777	1.251543	1.432161	0.303	0.24
49000	-9120.52	0.4171177	1.302942	1.557927	0.277	0.32
49500	-9297.364	0.4092741	1.204494	1.339767	0.333	0.26
50000	-9285.707	0.4088807	1.226013	1.384293	0.308	0.26
