"Respondent","price","brand2","brand3","ff2","ff3","feat2","feat3","LV_disturbance"
1,0.4104293154,0.6773017866,0.6934561608,0.6961263737,0.7632112375,0.7013943964,0.7342196554,0.8474391108
2,0.3856734446,0.7186421837,0.723852289,0.7500648058,0.7964170126,0.762180578,0.7197470723,0.8357795651
3,0.4057459233,0.7106201516,0.734330916,0.768282458,0.8985940693,0.7584375365,0.6249204008,0.8282693537
4,0.4237076437,0.6369704095,0.6482858876,0.7899601125,0.7590173757,0.7713667156,0.8249992091,0.860776115
5,0.39646431,0.5382681363,0.5931815028,0.7179107545,0.7481869652,0.6885144808,0.6841476134,0.8102370386
6,0.3911765439,0.7136176872,0.6288402572,0.8054418649,0.7809949083,0.6648275885,0.7709066635,0.8518031068
7,0.3918242878,0.7338118388,0.8502807647,0.7302265951,0.8339777931,0.7889350811,0.7867333039,0.8623655752
8,0.4144910338,0.6587569156,0.5711493465,0.7490497222,0.7955595177,0.8116107219,0.7757603088,0.8313176686
9,0.4442095647,0.6822695177,0.6664763086,0.7997020727,0.7598422804,0.815298288,0.6780803247,0.8611711941
10,0.4408785665,0.7482619356,0.5582766281,0.6976971373,0.7893788574,0.6436127033,0.733685778,0.8784286819
11,0.3647126499,0.6905962188,0.6596009667,0.7861003951,0.8489765258,0.7450926735,0.566834432,0.8706553568
12,0.3747972305,0.5951095112,0.6829212224,0.7900833253,0.7706588395,0.4948739694,0.667912342,0.8127067606
13,0.3392167853,0.5712711856,0.7572756793,0.7791016373,0.7622153047,0.590895673,0.6594382152,0.8172234963
14,0.3772130235,0.6601124832,0.7314765448,0.7483089519,0.9458479376,0.6834712038,0.7418621541,0.8496154624
15,0.422045537,0.5055409918,0.7749714534,0.7182316736,0.7243124647,0.6153232366,0.7563430977,0.8632561578
16,0.3946183578,0.796010218,0.7723789021,0.8183328998,0.7815078897,0.7711405893,0.7956969904,0.8688527441
17,0.3941159381,0.6098588095,0.5310107097,0.7112500631,0.7825457885,0.7049754781,0.6864868945,0.8411989633
18,0.3947363017,0.700879025,0.8123920779,0.8458114455,0.746999466,0.7285086316,0.8276504237,0.8436335661
19,0.3846123327,0.6756644418,0.7811930197,0.7844089651,0.6689271375,0.7703222044,0.6364944064,0.8266100637
20,0.3783525986,0.6753612441,0.6967125775,0.7404827972,0.7170150548,0.6939705493,0.6706893836,0.8537801983
21,0.3956503145,0.5350618483,0.7628795639,0.8100515697,0.7195644805,0.6674207748,0.7247636442,0.8240122955
22,0.4121235867,0.6828883798,0.7029495905,0.8034848061,0.8023315724,0.7590152823,0.7295403754,0.9014608807
23,0.4462248398,0.6231681597,0.6420482777,0.8531361759,0.6875802948,0.6754491338,0.7106512611,0.8782038268
24,0.4175812341,0.7449337125,0.8732449496,0.8776514,0.7911130562,0.742891187,0.772126324,0.8602490701
25,0.4047814163,0.5446467508,0.5917245632,0.7659868573,0.7803367485,0.7656688491,0.6403365049,0.8339201985
26,0.3555511349,0.6395910848,0.7426119901,0.8147649537,0.762292115,0.7192924905,0.7038286941,0.84337104
27,0.3767929517,0.5913451389,0.5677654009,0.741264304,0.7485483534,0.6113360445,0.501226187,0.8079036472
28,0.4454115843,0.5651303536,0.6657466593,0.746412404,0.7784414284,0.8160170205,0.8162184766,0.8528781654
29,0.3934525241,0.6542927817,0.7396500388,0.6856733778,0.7898386349,0.7747681123,0.654454277,0.8067632728
30,0.3993479422,0.6690279964,0.6183179345,0.7203231545,0.8074084664,0.6634399877,0.6475421816,0.880340777
31,0.3623358381,0.6185714985,0.5748780597,0.8091065487,0.7379960786,0.5557429052,0.6842293991,0.8409328519
32,0.3946216657,0.7295772782,0.7850535125,0.7542878482,0.7320732409,0.6803790694,0.8252187337,0.8247962334
33,0.404544019,0.7381104678,0.7658282759,0.7539010008,0.7071733895,0.7427582198,0.733934318,0.8577250654
34,0.4159211309,0.6734599251,0.8494475133,0.7966540265,0.7881289854,0.6923428547,0.6975788298,0.8552388703
