"iteration","price x price","brand2 x price","brand2 x brand2","brand3 x price","brand3 x brand2","brand3 x brand3","ff2 x price","ff2 x brand2","ff2 x brand3","ff2 x ff2","ff3 x price","ff3 x brand2","ff3 x brand3","ff3 x ff2","ff3 x ff3","feat2 x price","feat2 x brand2","feat2 x brand3","feat2 x ff2","feat2 x ff3","feat2 x feat2","feat3 x price","feat3 x brand2","feat3 x brand3","feat3 x ff2","feat3 x ff3","feat3 x feat2","feat3 x feat3","LV_disturbance x price","LV_disturbance x brand2","LV_disturbance x brand3","LV_disturbance x ff2","LV_disturbance x ff3","LV_disturbance x feat2","LV_disturbance x feat3","LV_disturbance x LV_disturbance"
1,0.2256037994,0,1.013445289,0,0,0.9686110944,0,0,0,1.022855037,0,0,0,0,0.9412128694,0,0,0,0,0,0.9822309265,0,0,0,0,0,0,1.063225642,0,0,0,0,0,0,0,1
2,0.2162695178,0,0.9696419126,0,0,0.9517503867,0,0,0,1.102821364,0,0,0,0,1.057818491,0,0,0,0,0,0.930735401,0,0,0,0,0,0,1.083114402,0,0,0,0,0,0,0,1
3,0.2310523989,0,0.9230662687,0,0,0.9056343651,0,0,0,1.058479287,0,0,0,0,1.047734761,0,0,0,0,0,0.9899380233,0,0,0,0,0,0,1.040941695,0,0,0,0,0,0,0,1
4,0.218019557,0,1.071745728,0,0,0.9036915934,0,0,0,1.025222343,0,0,0,0,1.048905549,0,0,0,0,0,1.00777652,0,0,0,0,0,0,1.106295611,0,0,0,0,0,0,0,1
5,0.2259934907,0,1.036472321,0,0,0.9275565337,0,0,0,1.009516284,0,0,0,0,1.043259418,0,0,0,0,0,0.9777091065,0,0,0,0,0,0,1.015387962,0,0,0,0,0,0,0,1
6,0.2247453165,0,1.039338722,0,0,0.8732491081,0,0,0,0.9795371595,0,0,0,0,1.014075705,0,0,0,0,0,0.9653524073,0,0,0,0,0,0,1.026942907,0,0,0,0,0,0,0,1
7,0.2179763387,0,1.145114371,0,0,0.9929430627,0,0,0,1.021112134,0,0,0,0,1.075072581,0,0,0,0,0,1.069624766,0,0,0,0,0,0,0.9967453195,0,0,0,0,0,0,0,1
8,0.2192553834,0,1.080302831,0,0,0.9107106915,0,0,0,1.045536709,0,0,0,0,1.045764661,0,0,0,0,0,0.9766235911,0,0,0,0,0,0,0.9664023959,0,0,0,0,0,0,0,1
9,0.2227832116,0,1.070584529,0,0,0.9739710311,0,0,0,1.013355555,0,0,0,0,1.05302636,0,0,0,0,0,1.047703493,0,0,0,0,0,0,1.059210168,0,0,0,0,0,0,0,1
10,0.2192523845,0,1.032091795,0,0,0.8851488856,0,0,0,1.034808033,0,0,0,0,1.071251138,0,0,0,0,0,1.071969755,0,0,0,0,0,0,1.10579891,0,0,0,0,0,0,0,1
