"iteration","lambda","gamma1","gamma2","sigma1","sigma2","zeta1","zeta2","tau"
53,0.3784506187,-0.2045664963,0.3997950962,0.9589093145,0.9934579421,-0.6356919782,-0.1740245745,-0.2611482595
54,0.3646725401,-0.2162906993,0.4055579215,0.9600265289,0.9898968838,-0.6598067728,-0.1912618719,-0.2423650524
55,0.3717207526,-0.2233191378,0.3914964618,0.968174087,0.9690221767,-0.6516409048,-0.1774003684,-0.2398224593
56,0.3717207526,-0.2233191378,0.3914964618,0.968174087,0.9690221767,-0.6516409048,-0.1774003684,-0.2398224593
57,0.3717207526,-0.2233191378,0.3914964618,0.968174087,0.9690221767,-0.6516409048,-0.1774003684,-0.2398224593
58,0.3717207526,-0.2233191378,0.3914964618,0.968174087,0.9690221767,-0.6516409048,-0.1774003684,-0.2398224593
59,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
60,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
61,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
62,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
63,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
64,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
65,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
66,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
67,0.3718976764,-0.2158533908,0.3877852378,0.9671914748,0.9885661273,-0.6410170706,-0.1833580004,-0.2363228743
68,0.3585023955,-0.2239208113,0.3820251365,0.9526804968,0.9974673681,-0.6253396226,-0.1993552803,-0.2505607717
69,0.3585023955,-0.2239208113,0.3820251365,0.9526804968,0.9974673681,-0.6253396226,-0.1993552803,-0.2505607717
70,0.3585023955,-0.2239208113,0.3820251365,0.9526804968,0.9974673681,-0.6253396226,-0.1993552803,-0.2505607717
71,0.3585023955,-0.2239208113,0.3820251365,0.9526804968,0.9974673681,-0.6253396226,-0.1993552803,-0.2505607717
72,0.3585023955,-0.2239208113,0.3820251365,0.9526804968,0.9974673681,-0.6253396226,-0.1993552803,-0.2505607717
73,0.3518110185,-0.218064233,0.3849580111,0.9562266521,1.012922227,-0.626647417,-0.1966530313,-0.2498682165
74,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
75,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
76,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
77,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
78,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
79,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
80,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
81,0.3510559458,-0.2075229428,0.3769630154,0.9529606896,1.019372067,-0.6369945581,-0.1920359539,-0.2570671443
82,0.3349842014,-0.2080318915,0.3730462635,0.9672670641,1.012590963,-0.639120434,-0.1881686056,-0.2637896945
83,0.3349842014,-0.2080318915,0.3730462635,0.9672670641,1.012590963,-0.639120434,-0.1881686056,-0.2637896945
84,0.3349842014,-0.2080318915,0.3730462635,0.9672670641,1.012590963,-0.639120434,-0.1881686056,-0.2637896945
85,0.3426819416,-0.1846573013,0.3692397055,0.9765773297,1.021974327,-0.6553515726,-0.1868534544,-0.2556307065
86,0.3645283532,-0.1889628667,0.3684732866,0.9622285522,1.023693837,-0.6718334294,-0.1774739542,-0.2567052175
87,0.3645283532,-0.1889628667,0.3684732866,0.9622285522,1.023693837,-0.6718334294,-0.1774739542,-0.2567052175
88,0.3645283532,-0.1889628667,0.3684732866,0.9622285522,1.023693837,-0.6718334294,-0.1774739542,-0.2567052175
89,0.3645283532,-0.1889628667,0.3684732866,0.9622285522,1.023693837,-0.6718334294,-0.1774739542,-0.2567052175
90,0.3645283532,-0.1889628667,0.3684732866,0.9622285522,1.023693837,-0.6718334294,-0.1774739542,-0.2567052175
91,0.3611140029,-0.1846186501,0.3764088004,0.9555095339,1.023015462,-0.6510707467,-0.1612437584,-0.2577358855
92,0.3535672582,-0.1814864912,0.3684584206,0.9332141664,1.024182262,-0.6606272914,-0.167540272,-0.2477555389
93,0.3535672582,-0.1814864912,0.3684584206,0.9332141664,1.024182262,-0.6606272914,-0.167540272,-0.2477555389
94,0.3535672582,-0.1814864912,0.3684584206,0.9332141664,1.024182262,-0.6606272914,-0.167540272,-0.2477555389
95,0.3535672582,-0.1814864912,0.3684584206,0.9332141664,1.024182262,-0.6606272914,-0.167540272,-0.2477555389
96,0.3535672582,-0.1814864912,0.3684584206,0.9332141664,1.024182262,-0.6606272914,-0.167540272,-0.2477555389
97,0.3535672582,-0.1814864912,0.3684584206,0.9332141664,1.024182262,-0.6606272914,-0.167540272,-0.2477555389
98,0.3535672582,-0.1814864912,0.3684584206,0.9332141664,1.024182262,-0.6606272914,-0.167540272,-0.2477555389
99,0.3715338052,-0.1643103073,0.3673606727,0.9280857812,1.006055368,-0.6611147501,-0.1736943469,-0.2407013943
100,0.3715338052,-0.1643103073,0.3673606727,0.9280857812,1.006055368,-0.6611147501,-0.1736943469,-0.2407013943
101,0.3715338052,-0.1643103073,0.3673606727,0.9280857812,1.006055368,-0.6611147501,-0.1736943469,-0.2407013943
102,0.3715338052,-0.1643103073,0.3673606727,0.9280857812,1.006055368,-0.6611147501,-0.1736943469,-0.2407013943
103,0.3715338052,-0.1643103073,0.3673606727,0.9280857812,1.006055368,-0.6611147501,-0.1736943469,-0.2407013943
104,0.365479971,-0.15289814,0.3545557052,0.9346063935,0.985543313,-0.6530792827,-0.1820117296,-0.2257357547
105,0.3726863147,-0.1645250416,0.351387223,0.9178009457,1.00217598,-0.6487626088,-0.1842917699,-0.2374511785
106,0.3726863147,-0.1645250416,0.351387223,0.9178009457,1.00217598,-0.6487626088,-0.1842917699,-0.2374511785
107,0.3504589675,-0.1626317672,0.3485167686,0.931285885,0.9953618976,-0.6350654683,-0.1876696217,-0.223028341
108,0.3427417295,-0.1668754358,0.3540196475,0.9438211316,0.9672407963,-0.641168948,-0.1904422061,-0.2419925118
109,0.3542637913,-0.1406286344,0.3472626509,0.9485162853,0.9712617719,-0.6465697544,-0.1878387788,-0.2595522917
110,0.3542637913,-0.1406286344,0.3472626509,0.9485162853,0.9712617719,-0.6465697544,-0.1878387788,-0.2595522917
111,0.3542637913,-0.1406286344,0.3472626509,0.9485162853,0.9712617719,-0.6465697544,-0.1878387788,-0.2595522917
112,0.3609384747,-0.1379891708,0.3385542971,0.9707375264,0.9910937488,-0.6446193667,-0.1819587158,-0.2741151574
113,0.3609384747,-0.1379891708,0.3385542971,0.9707375264,0.9910937488,-0.6446193667,-0.1819587158,-0.2741151574
114,0.3609384747,-0.1379891708,0.3385542971,0.9707375264,0.9910937488,-0.6446193667,-0.1819587158,-0.2741151574
115,0.3609384747,-0.1379891708,0.3385542971,0.9707375264,0.9910937488,-0.6446193667,-0.1819587158,-0.2741151574
116,0.3722305994,-0.1677633288,0.3266422665,0.9756214475,0.9835864506,-0.6483913184,-0.149128525,-0.2914993447
117,0.3538615839,-0.1539475712,0.3282362244,0.9726482034,0.9831616359,-0.6275613405,-0.1702354912,-0.2865296614
118,0.3498364397,-0.1727566176,0.3576804568,0.9778018529,1.001880897,-0.6012744027,-0.1830942141,-0.3010566314
119,0.3498364397,-0.1727566176,0.3576804568,0.9778018529,1.001880897,-0.6012744027,-0.1830942141,-0.3010566314
120,0.3498364397,-0.1727566176,0.3576804568,0.9778018529,1.001880897,-0.6012744027,-0.1830942141,-0.3010566314
121,0.3498364397,-0.1727566176,0.3576804568,0.9778018529,1.001880897,-0.6012744027,-0.1830942141,-0.3010566314
122,0.3384362174,-0.1713194698,0.3419492922,0.9688883871,1.003849919,-0.6032178955,-0.1781267008,-0.301643195
123,0.3311317418,-0.1724233606,0.3557830933,0.9624825661,0.9935310851,-0.6070177153,-0.1799884921,-0.2866650699
124,0.3311317418,-0.1724233606,0.3557830933,0.9624825661,0.9935310851,-0.6070177153,-0.1799884921,-0.2866650699
125,0.3285865727,-0.1719043086,0.3638152491,0.9603612296,0.9809146316,-0.5997003767,-0.169563786,-0.284104101
126,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
127,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
128,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
129,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
130,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
131,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
132,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
133,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
134,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
135,0.3341776426,-0.1662671869,0.3587897689,0.9609438238,0.9833897878,-0.5990235138,-0.1512064607,-0.2880527657
136,0.3502360718,-0.1727070134,0.3563895871,0.9627754937,0.9820366731,-0.5794475707,-0.1428431237,-0.3038912558
137,0.3502360718,-0.1727070134,0.3563895871,0.9627754937,0.9820366731,-0.5794475707,-0.1428431237,-0.3038912558
138,0.3502360718,-0.1727070134,0.3563895871,0.9627754937,0.9820366731,-0.5794475707,-0.1428431237,-0.3038912558
139,0.3316775376,-0.1909248876,0.3468715588,0.9958033399,0.9863420204,-0.5410828529,-0.1638958613,-0.3268645249
140,0.3316775376,-0.1909248876,0.3468715588,0.9958033399,0.9863420204,-0.5410828529,-0.1638958613,-0.3268645249
141,0.3316775376,-0.1909248876,0.3468715588,0.9958033399,0.9863420204,-0.5410828529,-0.1638958613,-0.3268645249
142,0.3316775376,-0.1909248876,0.3468715588,0.9958033399,0.9863420204,-0.5410828529,-0.1638958613,-0.3268645249
143,0.3316775376,-0.1909248876,0.3468715588,0.9958033399,0.9863420204,-0.5410828529,-0.1638958613,-0.3268645249
144,0.325471092,-0.2038928955,0.3564399488,1.015911181,0.9805314496,-0.5262581853,-0.1908446941,-0.3049767891
145,0.325471092,-0.2038928955,0.3564399488,1.015911181,0.9805314496,-0.5262581853,-0.1908446941,-0.3049767891
146,0.325471092,-0.2038928955,0.3564399488,1.015911181,0.9805314496,-0.5262581853,-0.1908446941,-0.3049767891
147,0.3534623837,-0.1906660058,0.3624960801,1.020728267,0.9835166749,-0.5367183652,-0.1769949803,-0.3066908172
148,0.3534623837,-0.1906660058,0.3624960801,1.020728267,0.9835166749,-0.5367183652,-0.1769949803,-0.3066908172
149,0.3534623837,-0.1906660058,0.3624960801,1.020728267,0.9835166749,-0.5367183652,-0.1769949803,-0.3066908172
150,0.3534623837,-0.1906660058,0.3624960801,1.020728267,0.9835166749,-0.5367183652,-0.1769949803,-0.3066908172
151,0.3497942331,-0.1794758642,0.3695782942,1.034484547,0.9700686329,-0.5331964473,-0.1619253128,-0.306402667
152,0.3542600412,-0.182454554,0.3781822609,1.021556321,0.965781564,-0.5205196045,-0.1736716989,-0.314043768
153,0.3372780775,-0.1600285219,0.3691544879,1.008984504,0.9545516556,-0.5109050887,-0.1739024314,-0.3024170212
154,0.3427082671,-0.1797022143,0.3598362223,0.9826412344,0.9544517936,-0.5180440947,-0.1529726991,-0.2958346761
155,0.3427082671,-0.1797022143,0.3598362223,0.9826412344,0.9544517936,-0.5180440947,-0.1529726991,-0.2958346761
156,0.3427082671,-0.1797022143,0.3598362223,0.9826412344,0.9544517936,-0.5180440947,-0.1529726991,-0.2958346761
157,0.3427082671,-0.1797022143,0.3598362223,0.9826412344,0.9544517936,-0.5180440947,-0.1529726991,-0.2958346761
158,0.3427082671,-0.1797022143,0.3598362223,0.9826412344,0.9544517936,-0.5180440947,-0.1529726991,-0.2958346761
159,0.3427082671,-0.1797022143,0.3598362223,0.9826412344,0.9544517936,-0.5180440947,-0.1529726991,-0.2958346761
160,0.3427082671,-0.1797022143,0.3598362223,0.9826412344,0.9544517936,-0.5180440947,-0.1529726991,-0.2958346761
161,0.3398214224,-0.1596667284,0.3607280037,0.9869321305,0.9647130473,-0.5079072578,-0.1447293695,-0.3126773407
162,0.3306194519,-0.1743326616,0.3497281658,0.9895520579,0.9792062868,-0.5028915175,-0.163695738,-0.3190826766
163,0.3306194519,-0.1743326616,0.3497281658,0.9895520579,0.9792062868,-0.5028915175,-0.163695738,-0.3190826766
164,0.3232691874,-0.1787750036,0.3752503423,0.9827035604,0.9612566423,-0.5071359273,-0.1756785487,-0.309523417
165,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
166,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
167,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
168,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
169,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
170,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
171,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
172,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
173,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
174,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
175,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
176,0.3241557919,-0.1941252455,0.3766095579,0.9834558992,0.9598542134,-0.5176227832,-0.168644521,-0.2850824258
177,0.3188709109,-0.183754808,0.3780038768,0.9840287801,0.9571950509,-0.5213348896,-0.1696596535,-0.2860719185
178,0.3250386682,-0.1836233737,0.3995466178,0.9848763932,0.9693880359,-0.5282745892,-0.1780509149,-0.2788543792
179,0.3250386682,-0.1836233737,0.3995466178,0.9848763932,0.9693880359,-0.5282745892,-0.1780509149,-0.2788543792
180,0.3250386682,-0.1836233737,0.3995466178,0.9848763932,0.9693880359,-0.5282745892,-0.1780509149,-0.2788543792
181,0.3351758706,-0.1801255074,0.3955219956,1.004453147,0.9947349335,-0.5332868928,-0.1663822646,-0.2892914454
182,0.3351758706,-0.1801255074,0.3955219956,1.004453147,0.9947349335,-0.5332868928,-0.1663822646,-0.2892914454
183,0.3351758706,-0.1801255074,0.3955219956,1.004453147,0.9947349335,-0.5332868928,-0.1663822646,-0.2892914454
184,0.3351758706,-0.1801255074,0.3955219956,1.004453147,0.9947349335,-0.5332868928,-0.1663822646,-0.2892914454
185,0.3351758706,-0.1801255074,0.3955219956,1.004453147,0.9947349335,-0.5332868928,-0.1663822646,-0.2892914454
186,0.3322557489,-0.1994827658,0.4125162972,1.020942744,0.998886739,-0.549003324,-0.1707892604,-0.2865880783
187,0.3322557489,-0.1994827658,0.4125162972,1.020942744,0.998886739,-0.549003324,-0.1707892604,-0.2865880783
188,0.3322557489,-0.1994827658,0.4125162972,1.020942744,0.998886739,-0.549003324,-0.1707892604,-0.2865880783
189,0.3370213229,-0.1992584072,0.4073622387,1.017676694,0.9983506767,-0.5619196165,-0.1746049769,-0.2902533736
190,0.3370213229,-0.1992584072,0.4073622387,1.017676694,0.9983506767,-0.5619196165,-0.1746049769,-0.2902533736
191,0.3370213229,-0.1992584072,0.4073622387,1.017676694,0.9983506767,-0.5619196165,-0.1746049769,-0.2902533736
192,0.3370213229,-0.1992584072,0.4073622387,1.017676694,0.9983506767,-0.5619196165,-0.1746049769,-0.2902533736
193,0.332816786,-0.2044392552,0.4191200513,1.012623023,0.9857490276,-0.5751475741,-0.192826223,-0.264778098
194,0.332816786,-0.2044392552,0.4191200513,1.012623023,0.9857490276,-0.5751475741,-0.192826223,-0.264778098
195,0.332816786,-0.2044392552,0.4191200513,1.012623023,0.9857490276,-0.5751475741,-0.192826223,-0.264778098
196,0.333698564,-0.2164662487,0.4077740212,1.020650304,0.997310845,-0.5678582612,-0.1894206008,-0.265567333
197,0.3426667249,-0.2150569756,0.4033582762,1.008800088,0.9651162284,-0.570258899,-0.1660588331,-0.2475708321
198,0.3373614191,-0.2489213356,0.4202478814,1.001540151,0.9540411109,-0.5432492126,-0.1740700238,-0.2490996682
199,0.3373614191,-0.2489213356,0.4202478814,1.001540151,0.9540411109,-0.5432492126,-0.1740700238,-0.2490996682
200,0.3400240561,-0.240667597,0.4139588455,1.017049282,0.9382036729,-0.5477683302,-0.1716013015,-0.2464369424
201,0.3508309955,-0.2525436711,0.4206236346,1.017441298,0.9404931959,-0.5654089743,-0.1682296026,-0.2621611532
202,0.3508309955,-0.2525436711,0.4206236346,1.017441298,0.9404931959,-0.5654089743,-0.1682296026,-0.2621611532
203,0.3508309955,-0.2525436711,0.4206236346,1.017441298,0.9404931959,-0.5654089743,-0.1682296026,-0.2621611532
204,0.3563297636,-0.2536778696,0.421713507,1.003088177,0.9481626687,-0.558816583,-0.1473346692,-0.2615779866
205,0.3563297636,-0.2536778696,0.421713507,1.003088177,0.9481626687,-0.558816583,-0.1473346692,-0.2615779866
206,0.3589164049,-0.2483660953,0.4203761707,0.9876118229,0.945188945,-0.5669845644,-0.1425275681,-0.2810785581
207,0.3589164049,-0.2483660953,0.4203761707,0.9876118229,0.945188945,-0.5669845644,-0.1425275681,-0.2810785581
208,0.3589164049,-0.2483660953,0.4203761707,0.9876118229,0.945188945,-0.5669845644,-0.1425275681,-0.2810785581
209,0.3589164049,-0.2483660953,0.4203761707,0.9876118229,0.945188945,-0.5669845644,-0.1425275681,-0.2810785581
210,0.3594550256,-0.244032946,0.4473448701,0.9986921642,0.9430303036,-0.5591615709,-0.1424306136,-0.2767804359
211,0.3594550256,-0.244032946,0.4473448701,0.9986921642,0.9430303036,-0.5591615709,-0.1424306136,-0.2767804359
212,0.3743222503,-0.2326575467,0.4289894421,0.9875319252,0.9359866233,-0.5710835783,-0.1346316992,-0.2620938812
213,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
214,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
215,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
216,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
217,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
218,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
219,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
220,0.3733290128,-0.2587243946,0.4367316398,0.976492933,0.9429151088,-0.5646603613,-0.1457331509,-0.2517834231
221,0.3574771674,-0.2753253563,0.44623708,0.9690028408,0.9693728285,-0.5490400024,-0.1430313184,-0.2577058049
222,0.3574771674,-0.2753253563,0.44623708,0.9690028408,0.9693728285,-0.5490400024,-0.1430313184,-0.2577058049
223,0.3574771674,-0.2753253563,0.44623708,0.9690028408,0.9693728285,-0.5490400024,-0.1430313184,-0.2577058049
224,0.3574771674,-0.2753253563,0.44623708,0.9690028408,0.9693728285,-0.5490400024,-0.1430313184,-0.2577058049
225,0.3495849892,-0.262031892,0.4319976412,0.9596900405,0.9829445897,-0.5489610076,-0.1513055111,-0.2483532554
226,0.3671492812,-0.2668743079,0.4492419792,0.970002427,0.9792682638,-0.5461060808,-0.1451066539,-0.2712996327
227,0.3671492812,-0.2668743079,0.4492419792,0.970002427,0.9792682638,-0.5461060808,-0.1451066539,-0.2712996327
