"price","brand2","brand3","ff2","ff3","feat2","feat3","LV_disturbance"
"price",2,0,0,0,0,0,0,0
"brand2",0,2,0,0,0,0,0,0
"brand3",0,0,2,0,0,0,0,0
"ff2",0,0,0,2,0,0,0,0
"ff3",0,0,0,0,2,0,0,0
"feat2",0,0,0,0,0,2,0,0
"feat3",0,0,0,0,0,0,2,0
"LV_disturbance",0,0,0,0,0,0,0,2
