"iteration","price","brand2","brand3","ff2","ff3","feat2","feat3","LV_disturbance"
1,-0.04358631985,1.01492082,-0.6866587322,0.1439190051,0.6164749954,1.020017543,1.581707665,0
2,-0.04504700733,1.040274374,-0.7258062696,0.1460759151,0.6171172063,1.00532076,1.543811866,0
3,-0.05169825718,0.9649490731,-0.7007536039,0.1851278243,0.6433707596,0.9788299852,1.562434853,0
4,-0.05625547111,0.9946399496,-0.6823881385,0.1444130472,0.5803430315,1.074314914,1.497069696,0
5,-0.05870955623,1.044826703,-0.7397943588,0.1268779281,0.6151816464,1.025877554,1.542858833,0
6,-0.06157739114,0.9714310609,-0.666176854,0.1666566341,0.6046541313,1.047040667,1.544524033,0
7,-0.05487605234,0.9540838593,-0.7304213343,0.1389067765,0.6540871591,1.039859477,1.482552306,0
8,-0.06117112749,0.9420478365,-0.7262389911,0.2226652991,0.661602372,1.039778108,1.514527298,0
9,-0.07598213174,1.03127614,-0.7488573408,0.1353428815,0.6899764899,1.064637409,1.545544929,0
10,-0.06490692222,1.010648036,-0.71143934,0.1626755841,0.7064980309,1.059606045,1.472484412,0
11,-0.05895149304,1.003278512,-0.7498835184,0.1773610982,0.6671134134,1.052316637,1.551163312,0
12,-0.04640846022,0.9852576991,-0.7554346975,0.1532433971,0.6298263818,0.9691028285,1.494453766,0
13,-0.03177292011,1.019563617,-0.7018404879,0.1505461231,0.626413587,1.02225591,1.509807789,0
14,-0.06316524731,0.9987002097,-0.7657526735,0.1388376086,0.7226731013,1.052202284,1.521396785,0
15,-0.05527764103,1.020369983,-0.7406001158,0.158616957,0.6455458973,1.114923999,1.533082802,0
16,-0.01573871828,0.9779101976,-0.7147378038,0.1707515088,0.6369666551,1.05900881,1.534453613,0
17,-0.06851073159,1.063964853,-0.6421387231,0.09142550729,0.6279908185,1.068325815,1.519343207,0
18,-0.04998527788,0.9658451664,-0.7220696669,0.1308249172,0.6990278521,1.11115069,1.566145745,0
19,-0.03321998664,1.03025689,-0.661161843,0.1852160563,0.6293910611,1.040373591,1.475852002,0
20,-0.04138841022,0.9414236823,-0.7220926235,0.1616501623,0.6383969133,1.130491609,1.611478527,0
21,-0.05577374365,1.016702257,-0.7603092167,0.1446514542,0.6756814493,1.03192412,1.538525223,0
22,-0.0765339977,0.9979708288,-0.7304856551,0.1375195136,0.5722689989,1.050127765,1.489679016,0
23,-0.04903455152,1.01450597,-0.6815776946,0.1020047898,0.5767470474,1.054659494,1.516567564,0
24,-0.07112382226,1.012251285,-0.696777366,0.1000063816,0.6125041783,1.02528222,1.510220278,0
25,-0.0511083923,0.9988635482,-0.727416958,0.09917064416,0.6230289948,1.087779529,1.533816548,0
26,-0.04776572412,1.038679689,-0.7608507382,0.08829843641,0.5853308598,1.074170559,1.536457646,0
27,-0.03300294381,0.9457571795,-0.7343131321,0.114885083,0.5609002776,1.086184661,1.566857038,0
28,-0.06399979196,1.019986307,-0.7190397452,0.05249786902,0.5444255829,1.136561819,1.509661165,0
29,-0.06714026304,1.023126955,-0.7559612329,0.05860043863,0.6374818541,1.128653095,1.539533847,0
30,-0.06750878802,0.9660005353,-0.7140061229,0.08225832798,0.5657089651,1.134594202,1.53058246,0
