"iteration","price x price","ff2 x price","ff2 x ff2","ff3 x price","ff3 x ff2","ff3 x ff3","feat2 x price","feat2 x ff2","feat2 x ff3","feat2 x feat2","feat3 x price","feat3 x ff2","feat3 x ff3","feat3 x feat2","feat3 x feat3"
1,0.4516949028,0,1.819901637,0,0,1.797942869,0,0,0,1.607481027,0,0,0,0,1.802213139
2,0.4418656392,0,1.755685441,0,0,2.0822003,0,0,0,1.748087096,0,0,0,0,1.806810292
3,0.4538747847,0,1.903954363,0,0,1.838979161,0,0,0,1.640824563,0,0,0,0,1.581973363
4,0.4233792858,0,1.709349466,0,0,1.897108688,0,0,0,1.721278673,0,0,0,0,1.597194431
5,0.4417699481,0,1.954338078,0,0,1.879312832,0,0,0,1.717099972,0,0,0,0,1.597795169
6,0.4049179241,0,1.959267396,0,0,1.878791738,0,0,0,1.795351105,0,0,0,0,1.561125409
7,0.457511269,0,1.827118274,0,0,1.948369567,0,0,0,1.706428557,0,0,0,0,1.633685224
8,0.4299214731,0,1.862981058,0,0,1.857653765,0,0,0,1.759161391,0,0,0,0,1.671071397
9,0.4881674457,0,1.865800045,0,0,2.08458749,0,0,0,1.670436198,0,0,0,0,1.521663347
10,0.4792195397,0,1.780442203,0,0,1.854651437,0,0,0,1.708302885,0,0,0,0,1.508366775
11,0.413040534,0,1.816193316,0,0,1.950333447,0,0,0,1.67174451,0,0,0,0,1.590212987
12,0.4268582086,0,1.857069023,0,0,1.88579969,0,0,0,1.678509254,0,0,0,0,1.700892167
13,0.4248886495,0,1.966686627,0,0,1.896391864,0,0,0,1.694101753,0,0,0,0,1.769524488
14,0.4057082343,0,1.813743921,0,0,2.030486549,0,0,0,1.713811719,0,0,0,0,1.798293147
15,0.4399346104,0,1.968091129,0,0,1.954393102,0,0,0,1.585183905,0,0,0,0,1.666795032
16,0.4029708661,0,1.985651354,0,0,1.975933788,0,0,0,1.719703706,0,0,0,0,1.761081682
17,0.4037581167,0,1.958455805,0,0,1.891991276,0,0,0,1.610858212,0,0,0,0,1.67371671
18,0.3876871547,0,1.972245022,0,0,1.706844281,0,0,0,1.651428768,0,0,0,0,1.640219205
19,0.3894673951,0,1.972482801,0,0,1.868968039,0,0,0,1.735240469,0,0,0,0,1.660225935
20,0.4063566684,0,1.948241853,0,0,1.727787225,0,0,0,1.753908782,0,0,0,0,1.81547839
21,0.4026524882,0,1.912881793,0,0,1.733076701,0,0,0,1.694490625,0,0,0,0,1.721963187
22,0.4100842999,0,2.018641927,0,0,1.835142425,0,0,0,1.613794724,0,0,0,0,1.832806278
23,0.4030708864,0,1.902748719,0,0,1.751184393,0,0,0,1.736539989,0,0,0,0,1.794660737
24,0.3984770024,0,2.008671047,0,0,1.66600894,0,0,0,1.560983628,0,0,0,0,1.919637587
25,0.3680298073,0,2.104617132,0,0,1.771341572,0,0,0,1.484025083,0,0,0,0,1.872423514
26,0.4306882535,0,2.035736211,0,0,1.643944941,0,0,0,1.587279534,0,0,0,0,1.916544527
27,0.3969937463,0,2.027609754,0,0,1.790152102,0,0,0,1.569114009,0,0,0,0,1.715246258
28,0.4043454156,0,2.03129338,0,0,1.775828765,0,0,0,1.607598274,0,0,0,0,1.628256442
29,0.4130541104,0,2.039318336,0,0,1.723643715,0,0,0,1.536707316,0,0,0,0,1.62780332
30,0.4141144571,0,2.034528765,0,0,1.669309357,0,0,0,1.672265775,0,0,0,0,1.798769821
31,0.3787504475,0,1.938184437,0,0,1.736062738,0,0,0,1.644490728,0,0,0,0,1.609549895
32,0.3778628689,0,1.924394215,0,0,1.611787215,0,0,0,1.814517503,0,0,0,0,1.77946515
33,0.3744498076,0,2.135403278,0,0,1.67415323,0,0,0,1.774418436,0,0,0,0,1.592811182
34,0.3554541221,0,1.932565575,0,0,1.795795922,0,0,0,1.728718318,0,0,0,0,1.669571353
35,0.363423439,0,1.945909929,0,0,1.855753177,0,0,0,1.766167068,0,0,0,0,1.670608321
36,0.3647385985,0,2.017965194,0,0,1.605162452,0,0,0,1.905810984,0,0,0,0,1.612680268
37,0.3819702783,0,1.951157214,0,0,1.731524761,0,0,0,1.832838153,0,0,0,0,1.651714658
38,0.3363415906,0,1.948032221,0,0,1.647731914,0,0,0,1.749257781,0,0,0,0,1.546515267
39,0.3680056765,0,2.053204018,0,0,1.77764628,0,0,0,1.671115513,0,0,0,0,1.593772044
40,0.3610666565,0,2.02930093,0,0,1.616374366,0,0,0,1.98237354,0,0,0,0,1.449895163
41,0.3443873038,0,2.020061996,0,0,1.815566055,0,0,0,1.859080246,0,0,0,0,1.574708096
42,0.3770188571,0,1.968292572,0,0,1.580915722,0,0,0,1.950657362,0,0,0,0,1.749747931
43,0.356116737,0,2.081300728,0,0,1.615676161,0,0,0,1.840091508,0,0,0,0,1.520404751
44,0.3523642888,0,1.909762955,0,0,1.589348474,0,0,0,1.786760656,0,0,0,0,1.527546144
45,0.3778504184,0,1.774132154,0,0,1.513304941,0,0,0,1.998764846,0,0,0,0,1.606895907
46,0.3667702866,0,1.850690925,0,0,1.671601835,0,0,0,1.901446989,0,0,0,0,1.607515062
47,0.3676812384,0,1.806079871,0,0,1.725308331,0,0,0,1.828148523,0,0,0,0,1.542043925
48,0.385948151,0,1.962634942,0,0,1.705223352,0,0,0,1.961061134,0,0,0,0,1.49070953
49,0.3865502255,0,1.988613538,0,0,1.738033003,0,0,0,1.81646931,0,0,0,0,1.427025431
50,0.3853394514,0,2.076379702,0,0,1.547121748,0,0,0,1.854941743,0,0,0,0,1.448025727
51,0.4308217227,0,1.961890603,0,0,1.625074015,0,0,0,1.878023301,0,0,0,0,1.538806963
52,0.3954987573,0,2.039736666,0,0,1.709118885,0,0,0,1.755724275,0,0,0,0,1.505271686
53,0.4010552524,0,2.115070843,0,0,1.672938024,0,0,0,1.801071855,0,0,0,0,1.575878598
54,0.4460244378,0,2.058551308,0,0,1.564791999,0,0,0,1.853492853,0,0,0,0,1.549907262
55,0.39709219,0,1.822396332,0,0,1.595981001,0,0,0,1.739529394,0,0,0,0,1.582087364
56,0.4369363203,0,1.74252295,0,0,1.56321585,0,0,0,1.768705175,0,0,0,0,1.688494056
57,0.4062016896,0,1.810579202,0,0,1.444456929,0,0,0,1.775422831,0,0,0,0,1.742486578
58,0.407130392,0,1.77244948,0,0,1.386143785,0,0,0,1.658561378,0,0,0,0,1.609804158
59,0.4248270307,0,1.785745986,0,0,1.559920316,0,0,0,1.591964282,0,0,0,0,1.565551369
60,0.4275523103,0,1.837370266,0,0,1.52318498,0,0,0,1.658730551,0,0,0,0,1.609228439
61,0.4090893725,0,1.59217584,0,0,1.506751299,0,0,0,1.638789393,0,0,0,0,1.657434504
62,0.3975072092,0,1.555928823,0,0,1.666470597,0,0,0,1.636941625,0,0,0,0,1.524201352
63,0.4089699227,0,1.758071042,0,0,1.532600034,0,0,0,1.622030631,0,0,0,0,1.52173839
64,0.4155770624,0,1.537439017,0,0,1.533499931,0,0,0,1.550185627,0,0,0,0,1.494703438
65,0.4145166264,0,1.679103964,0,0,1.707890595,0,0,0,1.606179378,0,0,0,0,1.565761867
66,0.4072879189,0,1.671322833,0,0,1.564368556,0,0,0,1.588987719,0,0,0,0,1.490613859
67,0.4148807614,0,1.611574986,0,0,1.468213548,0,0,0,1.677901083,0,0,0,0,1.549574381
68,0.4413659439,0,1.514906573,0,0,1.62893251,0,0,0,1.517816214,0,0,0,0,1.675095662
69,0.3714744927,0,1.587683978,0,0,1.600025568,0,0,0,1.605546981,0,0,0,0,1.648184147
70,0.3870991961,0,1.648415844,0,0,1.671103239,0,0,0,1.520433303,0,0,0,0,1.701152681
71,0.3913363454,0,1.620067565,0,0,1.476749687,0,0,0,1.609057602,0,0,0,0,1.525237732
72,0.3919537444,0,1.567822286,0,0,1.579191892,0,0,0,1.656141325,0,0,0,0,1.641424871
73,0.3971358797,0,1.581918888,0,0,1.456926812,0,0,0,1.556014555,0,0,0,0,1.523241343
74,0.3966791287,0,1.632306211,0,0,1.306958526,0,0,0,1.624227231,0,0,0,0,1.638273765
75,0.3839840907,0,1.729671234,0,0,1.383396693,0,0,0,1.572023225,0,0,0,0,1.565070746
76,0.3972122836,0,1.59583434,0,0,1.392487491,0,0,0,1.567796154,0,0,0,0,1.60393439
77,0.3688161364,0,1.725468644,0,0,1.404752537,0,0,0,1.599709213,0,0,0,0,1.628277795
78,0.3788887093,0,1.643512504,0,0,1.353572977,0,0,0,1.426576356,0,0,0,0,1.800675779
79,0.4001849923,0,1.593373351,0,0,1.239151008,0,0,0,1.582704556,0,0,0,0,1.735533807
80,0.3660105317,0,1.651454127,0,0,1.303380242,0,0,0,1.601016743,0,0,0,0,1.825726947
