"Respondent","price","ff2","ff3","feat2","feat3"
1,0.4352581646,0.8209209888,0.8376582112,0.8401183425,0.7670733808
2,0.5150894157,0.8426819759,0.9092565126,0.9217378175,0.8003839906
3,0.5126659212,0.8447499072,1.06832393,0.9609841566,0.8100082345
4,0.5165641931,0.8790259831,0.8725881564,0.9669959396,0.9779432887
5,0.4400027028,0.8372512189,0.9269925834,0.8820000932,0.8789533391
6,0.5048597976,0.8730929242,0.862851013,0.8728737324,0.9493924214
7,0.4484571969,0.7656146307,0.8753887875,0.9217284104,0.9110493857
8,0.4824296337,0.9041044646,0.9645213812,0.9524815846,0.9440222952
9,0.528290441,0.8672595003,0.873959731,0.9515608802,0.8907930625
10,0.5246968481,0.8084115474,0.865945508,0.8623902614,0.9572533603
11,0.4961655658,0.9261919095,1.006006691,0.8901249553,0.8560983458
12,0.4262207589,0.8751812354,0.7956475083,0.8648317916,0.915776539
13,0.4438380294,0.978131705,1.002909579,0.9175016278,0.9607119469
14,0.4127019764,0.8001579424,1.098884233,0.8576512155,0.9129688006
15,0.4746422907,0.8277910856,0.865851454,0.8913729149,1.067954089
16,0.4889886081,0.878927385,0.8573001117,0.8976949923,0.9234870648
17,0.4254861846,0.8233737486,0.9070897323,1.015802002,0.925952848
18,0.4354621538,0.9143583712,0.828384058,0.893753519,0.9330551961
19,0.4423939659,0.9114388598,0.7789423147,0.9037250751,0.8150324892
20,0.4436320144,0.7807146446,0.8024505649,0.7768272047,0.8552705002
21,0.5048627302,0.877247668,0.9069579155,0.931177635,0.911688164
22,0.4977175648,0.906632181,0.9097602598,0.9642054945,0.8886863567
23,0.5162279473,1.023193856,0.8077916868,0.881862087,0.8583795552
24,0.518270327,1.010185325,0.8689490354,0.8745488335,0.9255402983
25,0.5230089982,0.9306872814,0.8760342267,0.9213579218,0.9656557492
26,0.3985685678,0.8888792701,0.8514780108,0.8792620585,0.8626328509
27,0.4148889405,0.8324447505,0.8722492094,0.7766246248,0.7431179108
28,0.5420060901,0.8653483605,0.8702579159,0.9598860117,0.9915512479
29,0.443064986,0.7769462362,0.8466541023,0.9669612401,0.8062054989
