"iteration","brand2","brand3"
1,1.092581574,-0.7612386252
2,1.092581574,-0.7612386252
3,1.092581574,-0.7612386252
4,1.092581574,-0.7612386252
5,1.092581574,-0.7612386252
6,1.105939662,-0.8652106611
7,1.159156787,-0.8300259257
8,1.159156787,-0.8300259257
9,1.110897504,-0.8225637221
10,1.110897504,-0.8225637221
11,1.110897504,-0.8225637221
12,1.110897504,-0.8225637221
13,1.110897504,-0.8225637221
14,1.110897504,-0.8225637221
15,1.110897504,-0.8225637221
16,1.110897504,-0.8225637221
17,1.110897504,-0.8225637221
18,1.110897504,-0.8225637221
19,1.110897504,-0.8225637221
20,1.110897504,-0.8225637221
21,1.111649983,-0.8106855432
22,1.111649983,-0.8106855432
23,1.111649983,-0.8106855432
24,1.111649983,-0.8106855432
25,1.111649983,-0.8106855432
26,1.111649983,-0.8106855432
27,1.128385997,-0.851005162
28,1.128385997,-0.851005162
29,1.128385997,-0.851005162
30,1.128385997,-0.851005162
31,1.128385997,-0.851005162
32,1.128385997,-0.851005162
33,1.128385997,-0.851005162
34,1.128385997,-0.851005162
35,1.128385997,-0.851005162
36,1.128385997,-0.851005162
37,1.172428881,-0.8678894275
38,1.172428881,-0.8678894275
39,1.172428881,-0.8678894275
40,1.172428881,-0.8678894275
41,1.172428881,-0.8678894275
42,1.172428881,-0.8678894275
43,1.172428881,-0.8678894275
44,1.132925405,-0.8153485654
45,1.132925405,-0.8153485654
46,1.132925405,-0.8153485654
47,1.132925405,-0.8153485654
48,1.132925405,-0.8153485654
49,1.102059177,-0.8689944992
50,1.102059177,-0.8689944992
51,1.102059177,-0.8689944992
52,1.101339991,-0.9299726472
53,1.101339991,-0.9299726472
54,1.068815196,-0.7771006863
55,1.115398224,-0.8358638478
56,1.149107261,-0.7796997916
57,1.149107261,-0.7796997916
58,1.149107261,-0.7796997916
59,1.115978235,-0.8126309003
60,1.115978235,-0.8126309003
61,1.115978235,-0.8126309003
62,1.142540681,-0.7423060244
63,1.142540681,-0.7423060244
64,1.142540681,-0.7423060244
65,1.142540681,-0.7423060244
66,1.142540681,-0.7423060244
67,1.142540681,-0.7423060244
68,1.142540681,-0.7423060244
69,1.142540681,-0.7423060244
70,1.142540681,-0.7423060244
71,1.142540681,-0.7423060244
72,1.181603642,-0.7298424148
73,1.181603642,-0.7298424148
74,1.181603642,-0.7298424148
75,1.181603642,-0.7298424148
76,1.181603642,-0.7298424148
77,1.181603642,-0.7298424148
78,1.147132181,-0.7031130365
79,1.200440434,-0.7568963658
80,1.200440434,-0.7568963658
81,1.175911766,-0.6720064659
82,1.136722192,-0.7999305789
83,1.136722192,-0.7999305789
84,1.136722192,-0.7999305789
85,1.136722192,-0.7999305789
86,1.136722192,-0.7999305789
87,1.167703202,-0.7360826986
88,1.167703202,-0.7360826986
89,1.167703202,-0.7360826986
90,1.167703202,-0.7360826986
91,1.167703202,-0.7360826986
92,1.167703202,-0.7360826986
93,1.158864198,-0.7802610386
94,1.158864198,-0.7802610386
95,1.158864198,-0.7802610386
96,1.150603728,-0.7758687056
97,1.167560112,-0.7521623132
98,1.15516526,-0.7221969721
99,1.15516526,-0.7221969721
100,1.15516526,-0.7221969721
101,1.15516526,-0.7221969721
102,1.129327823,-0.7331362475
103,1.181587188,-0.762746699
104,1.181587188,-0.762746699
105,1.181587188,-0.762746699
106,1.181587188,-0.762746699
107,1.181587188,-0.762746699
108,1.181587188,-0.762746699
109,1.181587188,-0.762746699
110,1.181587188,-0.762746699
111,1.181587188,-0.762746699
112,1.181587188,-0.762746699
113,1.180692174,-0.7731416512
114,1.180692174,-0.7731416512
115,1.180692174,-0.7731416512
116,1.180692174,-0.7731416512
117,1.180692174,-0.7731416512
118,1.180692174,-0.7731416512
119,1.097484125,-0.8127301534
120,1.097484125,-0.8127301534
121,1.097484125,-0.8127301534
122,1.097484125,-0.8127301534
123,1.097484125,-0.8127301534
124,1.177629103,-0.7680771698
125,1.177629103,-0.7680771698
126,1.201466268,-0.7790382729
127,1.149465945,-0.8333898143
128,1.149465945,-0.8333898143
129,1.149465945,-0.8333898143
130,1.149465945,-0.8333898143
131,1.149465945,-0.8333898143
132,1.149465945,-0.8333898143
133,1.149465945,-0.8333898143
134,1.149465945,-0.8333898143
135,1.149465945,-0.8333898143
136,1.149465945,-0.8333898143
137,1.149465945,-0.8333898143
138,1.184498459,-0.7768251844
139,1.079785737,-0.835730653
140,1.079785737,-0.835730653
141,1.079785737,-0.835730653
142,1.079785737,-0.835730653
143,1.079785737,-0.835730653
144,1.079785737,-0.835730653
145,1.079785737,-0.835730653
146,1.100113841,-0.8194999123
147,1.108800248,-0.7874216985
148,1.108800248,-0.7874216985
149,1.108800248,-0.7874216985
150,1.153630893,-0.8008205607
151,1.153630893,-0.8008205607
152,1.153630893,-0.8008205607
153,1.153630893,-0.8008205607
154,1.153630893,-0.8008205607
155,1.153630893,-0.8008205607
156,1.153630893,-0.8008205607
157,1.132775516,-0.882346939
158,1.132775516,-0.882346939
159,1.132775516,-0.882346939
160,1.037028403,-0.856246667
