"Respondent","Bx","By"
1,-0.8731308532,1.063956755
2,-0.04462754481,-1.333687465
3,0.3123892874,0.2705153984
4,1.11996442,-0.5738269541
5,0.6306317379,-0.1328091055
6,1.412274713,-1.100600428
7,-0.1657953857,-1.184389361
8,1.482569064,1.422000295
9,0.556461744,-1.498492389
10,1.697074091,0.404819572
11,1.364862649,-0.4463122328
12,-0.1335019407,-1.220255217
13,-0.3852123356,2.009414885
14,1.725772466,-0.5383458247
15,1.144284227,-0.6299761965
16,0.9312814419,-0.6266521723
17,1.619147237,-0.979828099
18,0.07116792814,-1.337267257
19,1.618698813,0.9188000742
20,-0.5775351811,-0.9206389963
21,-0.8140763211,1.04820516
22,1.586947417,-0.02654896698
23,0.6279782934,-0.5812554759
24,-0.327482196,-1.166442196
25,1.51021259,-0.6663566733
26,1.040499575,1.197128362
27,1.390754625,1.122902977
28,0.9592361336,-0.116399823
29,0.4272153198,0.08453734812
30,1.52152293,-1.21005037
31,-0.4375378396,-1.101819857
32,1.611043763,0.6079490316
33,-0.3654543305,-1.130804142
34,1.440418758,0.5498987123
35,0.07142790792,-1.31253683
36,-0.2584814803,-1.177284809
37,-0.1902427962,-1.301150896
38,1.121740976,-0.6661527425
39,-0.1073919163,1.114382133
40,-0.4227574027,-1.005967788
41,1.897543597,-0.3844308135
42,0.04306991422,-1.289408435
43,-0.0572836592,-1.23732382
44,-1.291902382,0.9011983152
45,0.9020637083,0.7331359895
46,-0.3562593906,-1.20550788
47,-0.2467557531,-1.19761127
48,1.070991787,-0.5584583778
49,-0.1709520359,-1.333094878
50,1.789385772,0.9096648654
51,1.508416842,0.7748028377
52,-0.4305754699,-1.069191438
53,1.593447702,0.477809794
54,0.8008937943,-1.403137006
55,-0.4782708685,-1.147447918
56,-0.3520585677,-1.134726889
57,1.625929894,-1.173287518
58,1.386276887,1.05269063
59,0.01397656616,-1.305061027
60,-0.5481626665,-0.961639624
61,-0.5665123651,-1.040821726
62,0.4570056357,-1.063547158
63,-0.1881037862,0.3129001673
64,-0.1495522459,-1.289591556
65,-0.5438974169,-1.006053846
66,1.849033373,-1.581791648
67,-0.1076776442,1.590332125
