"Respondent","Bx","By"
75,0.6346926973,0.8497993273
76,0.621844632,0.9111546583
77,0.6059248879,0.297481067
78,0.6381539966,0.8911076962
79,0.6502541119,0.9777993855
80,0.7570525537,0.8474239905
81,0.3998608945,0.7097671231
82,0.6534825264,0.9302538926
83,0.5841586115,0.5982808393
84,0.7374619682,0.9059903141
85,0.4129844401,0.4243211254
86,0.5183817234,0.7426188118
87,0.503630393,0.2859186433
88,0.8532701532,0.6618821832
89,0.875021349,0.7709145226
90,0.7351220931,0.9565666361
91,0.305157054,0.7731158305
92,0.8945839195,0.911659169
93,0.558971729,0.6794141913
94,0.5056575999,0.6664361864
95,0.4046789648,0.7313659157
96,0.8512506735,0.850246493
97,0.3966676815,0.4542723852
98,0.6727190265,0.9333955914
99,0.4895481172,0.6789287703
100,0.8301010554,0.7527944361
101,0.9231807609,0.8343077805
102,0.2877053543,0.6314501225
103,0.4750711694,0.189272142
104,0.7021495844,0.7201540521
105,0.758025585,0.8806678506
106,0.8500041186,0.6674980304
107,0.7345800326,0.5768792188
108,0.298533435,0.7297900223
109,0.688152115,0.8752901679
110,0.4484139234,0.2380781855
111,0.813395857,0.8155105629
112,0.7778857718,0.896256291
113,0.5078439868,0.4841283563
114,0.6727476174,0.9332805571
115,0.6284628824,0.8691934381
116,0.7602160296,0.7892599884
117,0.6184728355,0.9473131259
118,0.4937575969,0.3301780606
119,0.60311239,1.095284462
120,0.743295295,0.8756266216
121,0.3613497483,0.5431594799
122,0.7806353729,0.6884916427
123,0.8501598246,0.9018277015
124,0.7419914238,0.9365628245
125,0.5618721726,0.5540707717
126,0.7076033312,0.6957506393
127,0.5279174989,0.4171264328
128,0.7325679788,0.6802379454
129,0.6691013037,1.045380253
130,0.8146330662,0.6039078938
131,0.5418982422,0.7003939832
132,0.3129930123,0.7337359512
133,0.2948832134,0.3060525638
134,0.6885183635,0.9025122707
135,0.7817866203,0.9063701811
136,0.3743658413,0.8014218797
137,0.1852508791,0.5654795205
138,0.8235810704,0.90998842
139,0.4196477605,0.6710064269
140,0.8426416346,0.9423546768
141,0.8850773996,0.8758053703
142,0.8300444321,0.9484853922
143,0.8599678281,0.8832543603
144,0.6828907523,0.8872916453
145,0.7280220409,1.044096249
146,0.5779185449,0.3692861416
147,0.7867786899,0.9209646606
148,0.7731116145,0.9591276999
149,0.7845602003,0.9239896101
150,0.6336873624,1.001467423
151,0.7360389223,0.6086153565
152,0.697256699,0.4644778818
153,0.6028247669,0.4578474253
154,0.5949493602,0.4882498457
155,0.7246425388,0.3402551805
156,0.6628854139,1.015399351
157,0.8468869051,0.8436343269
158,0.8884983948,0.8823554487
159,0.2111546765,0.2625645749
160,0.7863876484,0.920571872
161,0.8216134476,0.9529030299
162,0.6645535878,0.9009998801
163,0.5647464594,0.1775778883
164,0.66833401,0.9510213632
165,0.7052191861,1.027217296
166,0.703690382,0.9444373731
167,0.7964303693,0.610573915
168,0.7701939345,0.9275633223
169,0.2279341238,0.3083895409
170,0.876984407,0.9917467463
171,0.6927555018,0.220063441
172,0.8067351937,0.7415409226
173,0.661097914,0.9319927248
174,0.7761544935,0.9665257005
175,0.6852478527,0.8718380962
176,0.793910389,0.9306789428
177,0.5141663995,0.5530089534
178,0.7153185858,0.8031922049
179,0.6237721987,1.042443837
180,0.2303393518,0.722800441
181,0.2264120983,0.1488672403
182,0.6171345139,0.6728470657
183,0.3802215338,0.5312594433
184,0.5895378872,0.2774945232
185,0.9178488136,0.8386405627
186,0.6178169456,0.8748898329
187,0.2926278948,0.397559037
188,0.7212130662,0.9952021837
189,0.7290201319,0.3522415864
190,0.704369626,0.8195069565
191,0.2740348842,0.6198308302
192,0.5905198054,0.5191448331
193,0.7549826412,0.8521174042
194,0.597857219,0.5925676552
195,0.6777715375,0.429389435
196,0.8143481969,0.8909271754
197,0.4811031807,0.3619967754
198,0.6398336621,0.9894632579
199,0.8082804201,1.00304325
200,0.1527966705,0.5875193226
201,0.5660229238,0.6550066322
202,0.7769567743,1.005697276
203,0.6469702645,0.18874507
204,0.7279256686,0.965204557
205,0.4957116106,0.4325171186
206,0.6830485803,0.9181395219
207,0.7498255257,0.9289954204
208,0.3564694299,0.528698198
209,0.8631583845,0.7770480304
210,0.4538756468,0.59932828
211,0.7942099109,1.013266878
212,0.7036157149,0.4221690626
213,0.3584640489,0.7265253033
214,0.7839460381,0.9339160587
215,0.7115968632,0.8980096243
216,0.2351125944,0.6907795091
217,0.8046583615,0.8846267704
218,0.847872431,0.9503214888
219,0.6925362579,0.8743173608
220,0.4909089909,0.743656187
221,0.2164172472,0.815527005
222,0.7255637547,0.9849173289
223,0.4419879381,0.7140297982
224,0.9584596006,0.8317191486
225,0.6366531561,0.5169908023
226,0.3053924587,0.7660321731
227,0.3938477429,0.6386240558
228,0.6767544743,0.9415443249
229,0.8252226944,0.7080311021
230,0.7681155832,0.9696827017
231,0.6693593277,0.3397158426
232,0.632101015,0.4207921265
233,0.2717693171,0.7157149696
234,0.3997231413,0.4972090027
235,0.9464063607,0.7783774405
236,0.6626380834,0.8840414858
237,1.016864597,0.838815421
238,0.854675737,0.9647533118
239,0.7874840473,0.965703322
240,0.5211469716,0.7669331893
241,0.6656405131,0.8858365354
242,0.9056378557,0.7025868034
243,0.7938184058,0.9145622385
244,0.6840336016,0.9746171487
245,0.7831148494,0.895976193
246,0.3431749414,0.714687419
247,0.6766251457,0.6331682197
248,0.6312491625,0.8699689451
249,0.8679778292,0.9080619196
250,0.8849548687,0.8532552178
251,0.5025242116,0.577867172
252,0.4732118902,0.5753780583
253,0.5137012668,0.2614043108
254,0.815641299,0.9180823105
255,1.060523339,0.7893605208
256,0.1855458999,0.594311965
257,0.5517501109,0.5585608608
258,0.7705170117,0.7619599237
259,0.5068169274,0.7322369771
260,0.3905992052,0.6199729009
261,0.8594860342,0.900155868
262,0.1567495116,0.5983861716
263,0.4090279491,0.695849612
264,0.7952619439,0.843287111
265,0.1574477499,0.3772435722
266,0.8433418483,0.8696854129
267,0.7538782712,0.9120801918
268,0.7056819583,0.8267624776
269,0.7648361881,0.7335319175
270,0.7592519101,0.8946894868
271,0.8512105054,0.8586144113
272,0.7820688989,0.6856852442
273,0.5209461506,0.6357448139
274,0.3973026313,0.2967915194
