Model Name:	MNL	
Number of individuals:	1138	
Number of observations:	10242	
Number of preliminary iterations:	30000	
Number of draws used per individual:	20000	
Random Seed:	678054	
Total iterations:	50000	
Number of parameters:	3	
Fixed parameters estimated: 
ASC1 
BTime 
BCost 
Estimated:	Sat Apr 06 12:40:59 PM 2013	
----------------------------------------------------------- 

Iteration Log-Likelihood RLH 	
0	-7099.213	0.5
250	-6405.56	0.5376996
500	-6287.575	0.5451657
750	-6265.279	0.5466903
1000	-6263.836	0.546886
1250	-6262.834	0.5472599
1500	-6264.366	0.5470166
1750	-6264.34	0.5468751
2000	-6262.928	0.5472576
2250	-6262.905	0.5471174
2500	-6266.265	0.5464363
2750	-6264.638	0.5471134
3000	-6264.142	0.546904
3250	-6262.931	0.5472661
3500	-6264.485	0.5469295
3750	-6264.931	0.5469051
4000	-6266.035	0.5466456
4250	-6263.383	0.5470158
4500	-6263.259	0.547108
4750	-6263.422	0.5470572
5000	-6263.698	0.5471855
5250	-6262.709	0.5472327
5500	-6265.001	0.5470854
5750	-6263.43	0.5473589
6000	-6263.402	0.5469708
6250	-6263.313	0.5469891
6500	-6263.806	0.5468843
6750	-6264.43	0.5471527
7000	-6265.846	0.5474532
7250	-6263.019	0.5472344
7500	-6262.99	0.5470385
7750	-6263.034	0.5472162
8000	-6263.594	0.5471942
8250	-6263.149	0.5471613
8500	-6263.585	0.5468861
8750	-6263.518	0.5472911
9000	-6266.783	0.5474774
9250	-6266.03	0.5473759
9500	-6264.627	0.5475295
9750	-6263.952	0.5473163
10000	-6264.408	0.5469148
10250	-6264.464	0.5467762
10500	-6262.77	0.5472176
10750	-6263.147	0.5471295
11000	-6266.472	0.5472991
11250	-6263.493	0.5472358
11500	-6264.225	0.5474461
11750	-6263.485	0.5472073
12000	-6264.12	0.5470393
12250	-6263.08	0.547226
12500	-6263.412	0.5471576
12750	-6265.326	0.54698
13000	-6263.699	0.5472113
13250	-6263.249	0.5472873
13500	-6263.838	0.547472
13750	-6263.639	0.547319
14000	-6264.148	0.5468377
14250	-6263.489	0.5469721
14500	-6263.047	0.5470079
14750	-6263.057	0.5472401
15000	-6263.161	0.5471135
15250	-6265.175	0.5469522
15500	-6263.254	0.5471425
15750	-6265.368	0.5474182
16000	-6264.712	0.5468759
16250	-6264.326	0.5474207
16500	-6267.111	0.5475824
16750	-6263.948	0.5473363
17000	-6264.253	0.5468245
17250	-6263.956	0.5473061
17500	-6263.451	0.5474055
17750	-6263.152	0.5472122
18000	-6262.954	0.5473335
18250	-6263.497	0.5469903
18500	-6262.9	0.5472524
18750	-6263.399	0.54739
19000	-6264.796	0.5471039
19250	-6264.859	0.547133
19500	-6267.125	0.5474093
19750	-6265.632	0.5468523
20000	-6263.791	0.5471598
20250	-6262.833	0.5471247
20500	-6264.235	0.5472183
20750	-6263.544	0.5472669
21000	-6263.563	0.5474045
21250	-6265.225	0.5465762
21500	-6266.318	0.5467498
21750	-6264.171	0.5470192
22000	-6263.499	0.5472403
22250	-6263.281	0.5472037
22500	-6267.592	0.54674
22750	-6263.356	0.5471331
23000	-6264.19	0.5467363
23250	-6263.202	0.5469411
23500	-6262.905	0.5470862
23750	-6263.438	0.5468907
24000	-6262.724	0.5471361
24250	-6262.935	0.5473209
24500	-6268.168	0.5465001
24750	-6263.484	0.5469534
25000	-6264.216	0.5467205
25250	-6264.892	0.5472827
25500	-6264.469	0.5472747
25750	-6262.762	0.5472468
26000	-6264.021	0.5473852
26250	-6263.671	0.5470928
26500	-6264.535	0.5474762
26750	-6268.91	0.5472287
27000	-6267.19	0.5473002
27250	-6263.174	0.5470851
27500	-6262.981	0.5470925
27750	-6262.77	0.5471728
28000	-6264.265	0.5469128
28250	-6263.185	0.5470594
28500	-6263.847	0.5469325
28750	-6263.868	0.5471526
29000	-6264.493	0.5469451
29250	-6262.972	0.5471553
29500	-6263.011	0.5470536
29750	-6263.917	0.5469746
30000	-6263.349	0.5471664
30250	-6264.739	0.5474224
30500	-6263.954	0.5471253
30750	-6263.122	0.5472507
31000	-6263.013	0.5469823
31250	-6264.557	0.5467635
31500	-6264.563	0.5468933
31750	-6263.432	0.5471703
32000	-6265.043	0.5470156
32250	-6263.515	0.5473136
32500	-6264.362	0.5470663
32750	-6265.925	0.5472372
33000	-6263.101	0.547114
33250	-6266	0.5474313
33500	-6263.545	0.5470638
33750	-6262.896	0.5470626
34000	-6262.934	0.5472015
34250	-6264.209	0.5471941
34500	-6265.135	0.547467
34750	-6264.388	0.5469058
35000	-6264.062	0.5467451
35250	-6262.754	0.5471459
35500	-6263.574	0.5473872
35750	-6264.134	0.5474456
36000	-6264.749	0.546871
36250	-6264.616	0.5472718
36500	-6265.478	0.5474386
36750	-6264.612	0.547094
37000	-6264.548	0.5471208
37250	-6262.719	0.5471524
37500	-6263.529	0.5472935
37750	-6262.813	0.5471818
38000	-6263.217	0.5473284
38250	-6263.561	0.5473427
38500	-6263.198	0.547219
38750	-6262.752	0.5472622
39000	-6264.379	0.5473165
39250	-6262.881	0.5472418
39500	-6263.13	0.5472798
39750	-6264.713	0.5470187
40000	-6264.812	0.5467889
40250	-6262.907	0.5473052
40500	-6264.37	0.5468233
40750	-6263.117	0.5469713
41000	-6262.993	0.5471784
41250	-6264.755	0.5472267
41500	-6265.788	0.5467577
41750	-6262.905	0.5473254
42000	-6264.372	0.547282
42250	-6264.635	0.5467035
42500	-6262.978	0.5472909
42750	-6262.909	0.5472327
43000	-6265.079	0.5475108
43250	-6266.083	0.5472841
43500	-6267.894	0.5473637
43750	-6263.537	0.5470039
44000	-6263.964	0.5467929
44250	-6263.7	0.5471063
44500	-6264.89	0.5474869
44750	-6264.553	0.5473748
45000	-6263.008	0.5470406
45250	-6264.496	0.547152
45500	-6264.49	0.5468475
45750	-6263.052	0.5471906
46000	-6265.874	0.546733
46250	-6266.728	0.5467073
46500	-6263.859	0.54687
46750	-6262.928	0.5470558
47000	-6263.691	0.5471412
47250	-6263.363	0.5469591
47500	-6263.084	0.5470104
47750	-6264.044	0.5473056
48000	-6262.814	0.5472957
48250	-6263.36	0.5469632
48500	-6263.823	0.5470804
48750	-6263.317	0.5471574
49000	-6262.958	0.5471237
49250	-6263.304	0.5472204
49500	-6262.985	0.547195
49750	-6265.509	0.5470219
50000	-6262.78	0.5470991
