"Respondent","Bx","By","EC"
1,-0.3309659201,0.8293946274,2.592705409
2,0.7841096399,-1.270916128,-1.511653935
3,0.4193959472,-1.397700479,-1.852318908
4,1.246378507,-0.08934133788,1.191565806
5,-0.9362138686,0.7109371456,-1.683824394
6,1.278116505,-0.3734949327,2.842587633
7,-0.3959428057,-1.399358608,1.759181603
8,1.446348318,-0.6130868003,0.03704714229
9,0.9690962027,0.9183571996,1.074639237
10,0.7759109867,-1.583065083,0.4125268611
11,0.7049614878,-0.3413557102,-0.04255104148
12,0.7809220144,-0.4760325608,0.6983542737
13,0.8964202791,-1.271537509,2.062576195
14,1.207592576,-0.4392765081,3.210247219
15,0.3957389892,0.5673052169,0.2286494531
16,1.072346457,0.784137592,-0.2027550619
17,0.5695900058,-0.3061401267,-2.493912758
18,0.08785409575,0.8098730206,2.320993407
19,-0.9330184729,-0.581460621,1.741542318
20,1.13774112,0.5561266298,-2.084162572
21,1.425588256,-0.7044152311,-1.342505203
22,-0.7261366612,-0.8798745974,1.297264106
23,-0.8611525435,-0.9608394835,-0.08663289787
24,1.594527658,-0.4181221601,0.2821701192
25,1.238993064,-0.3349921552,2.920366467
26,1.201486598,-1.205579069,0.7206511323
27,-0.4408634385,-0.3266699298,-3.838911277
28,0.9742812811,-1.364473315,0.9657620093
29,-0.6258866269,0.07196363304,3.164485911
30,0.5428528059,-1.508107488,0.3019701514
31,1.253472676,0.5991511753,-0.7223878348
32,0.5476603181,-1.559259067,-0.05156539262
33,0.220070743,1.016048455,1.717860229
34,1.482425966,-0.32576603,1.390527157
35,1.513853526,-0.4736520944,-1.528217648
36,-0.472663222,-0.9867656074,1.778845168
37,1.443820431,-0.4161102711,1.128804429
38,1.167919941,-0.8065428974,-2.03132574
39,0.6856394187,-0.612238441,-3.370472077
40,-0.1197218035,1.119846558,-0.4857048581
41,0.5257015596,-0.4686328785,-3.740803332
42,0.02241153034,-1.281973536,-0.5629076287
43,1.30044199,-1.041006471,0.4626231453
44,-0.03973840776,-0.791968805,-2.712407072
45,0.3604010602,0.2743649539,3.639735543
46,1.207193022,-1.129857247,0.684005823
47,-1.023847744,0.2035764223,-1.79709268
48,0.7531889958,-0.5765845222,3.795611847
49,-0.8791170643,-0.4602596954,2.283348327
50,0.4813051862,-0.3292038645,-1.009034354
51,0.649349787,-1.455571991,1.004483057
52,-0.109222868,-1.122264961,0.6609047703
53,0.7515154551,-0.5299856431,-2.010713497
54,0.6722175188,-1.545011127,-1.28834975
55,1.371686263,-0.7377378661,0.611500681
56,0.9253717377,-1.017788988,2.873593777
57,0.1946772431,-1.540387427,1.113977283
58,-1.197328246,0.06469587261,-0.4183201861
59,1.289560551,0.4431677847,-1.657905388
60,0.439636489,-1.572620538,1.042068059
61,1.442504695,-0.6743751272,-1.301351519
62,0.8910008848,-1.17047792,-2.209497838
63,1.35996313,0.1962867243,-1.582454585
64,-0.138421842,-0.2231753708,-4.443528261
65,-0.1693520824,-0.1514869808,0.2748834288
66,0.5341027053,-1.420292833,-2.067509834
67,-0.8628871076,-0.1721363728,-2.245566951
68,-1.147141925,0.1821716868,-0.6475899065
69,0.7182319953,-0.6354375845,-3.505972801
70,0.9447942121,-1.361331027,-0.5468773683
71,-0.3327355408,-1.402621075,2.067195261
72,-1.05972566,-0.01584436423,2.128775752
73,0.1590766563,1.025428431,1.390990034
74,-1.123737437,-0.5482804551,-0.5473888103
75,1.051669329,0.3404176662,1.123538452
76,0.497375757,1.115112645,0.1684700726
77,1.035728107,-0.7292880837,2.049415802
78,1.204228815,0.7704814986,1.671742854
79,-0.6482571438,-0.4639688614,-0.4167082421
80,-0.492427037,0.2168232839,-1.868068714
81,0.5573244759,-0.4830437856,-4.110751966
82,0.3823157172,-1.168573606,2.933992264
83,-0.2166529294,0.5047724623,3.248623953
84,0.5888696852,-0.3650952358,3.187831105
85,1.53736134,-0.9107276426,0.7289786874
86,-0.1664702406,-0.917872806,3.11277126
87,-1.103275827,0.1159396874,1.344180078
88,1.359701916,-0.7441879206,1.463110158
89,0.3536611276,1.0015107,1.863057378
90,-1.00316403,0.3030802075,-1.694662065
91,-0.242724694,0.4439422393,-0.4265047917
92,1.014569009,-0.9528887397,1.665095776
93,0.5631754717,-1.525451947,0.3728732021
94,0.1200097686,1.10754555,-2.344985898
95,1.106126489,-1.138745805,0.7830742882
96,0.2255814494,-0.9209479391,-3.724597103
97,0.8286951861,0.7444724682,-2.363633569
98,-0.9983636802,-0.7645212456,-1.182657049
99,1.474170532,0.3736416675,-0.9712796578
100,1.011371742,-1.212077578,1.237501326
101,-0.9416416053,-0.3906149635,-2.596449863
102,1.178385361,-1.057139982,-1.503650271
103,0.9084809988,-1.310674685,1.390095802
104,1.645717595,-0.0627979948,0.3421792548
105,1.259265989,0.2383480295,1.160296126
106,0.1545661459,-1.135711594,-3.020933747
107,0.4459709187,-1.515718979,1.129544257
108,-0.3789995667,1.055489219,-0.5470841687
109,1.101707358,-1.040582796,-2.565319077
110,-0.7417534075,-0.4535543343,-1.521047425
111,0.8109879553,-0.9618635776,2.041936277
112,-0.4072609523,-0.3806653239,-3.93866474
113,-0.1290123991,1.076835351,-1.213636638
114,0.3780510982,-0.8365358607,3.339213088
115,-0.02471452433,0.9214243348,-2.170118385
116,0.7931045862,-1.207636368,1.245953557
117,-0.02039583352,0.4613964516,0.8737976521
118,1.086248657,-1.271070798,-0.5693469356
119,-0.2024039696,-1.407214816,1.280349318
120,0.8571355812,-0.7084726061,-3.163211639
121,0.1050603055,0.2743784492,0.5985895721
122,1.118547547,-0.473119268,3.346425375
123,0.6941162815,-1.358385749,-0.3406539284
124,1.079416723,-0.4575971655,-3.37945863
125,1.247642482,-1.050474787,0.1676150571
126,1.342382097,0.02941019705,3.25735719
127,1.115701865,-1.298218573,-0.27615371
128,0.1488879802,-1.516734974,-0.3426226069
129,-0.7306755479,-0.6189827413,-3.188644511
130,0.5576365429,-1.122277152,-1.810501216
131,1.620837034,-0.6860724181,0.4226549179
132,0.0600924844,-0.6435154576,-3.833003079
133,0.2099963834,-1.563261311,-0.7805195058
134,1.105613799,-1.078023354,-0.6520669734
135,-0.6512462613,-1.225272935,-0.9941327826
136,-0.8396038216,-1.019958034,-0.3281839017
137,0.5633476773,-1.658748549,0.7112979753
138,1.231120565,-0.9650774328,1.40074119
139,0.03509560042,0.9639113666,-2.515287286
140,0.8103788186,-1.017037373,3.216150226
141,0.2502594528,-1.48193942,-1.447523415
142,0.6804842894,-1.327493496,-0.8318729854
143,0.6254514902,0.8879550436,-2.492561395
144,0.8092091614,0.8191057898,-1.899828525
145,0.7566061051,-1.396921988,0.1911512077
146,1.422472792,-0.3705596074,-1.419353261
147,0.233356177,-1.561965812,0.955760283
148,1.452468121,-0.3978416419,2.635211201
149,1.104311894,-0.6137963699,-2.660283764
150,-0.4677300119,-1.250042865,0.5487409672
151,0.7853904083,-0.6639943532,2.006656034
152,0.2040777962,0.7718271479,-3.49139832
153,-0.0298716253,1.102780964,1.109516855
154,0.361391648,0.5513935493,2.107461107
155,0.4728362188,-1.299552874,-0.6058500761
156,0.2602475447,-0.1289120062,-2.967189294
157,-0.9708727086,-0.040469654,2.717947054
158,0.7347155326,-1.414876644,-1.446324556
159,-0.4665826609,-1.141831095,-2.374459784
160,1.384535181,-0.02146838158,1.103841487
161,-0.007353045088,-0.6535496621,-3.96466568
162,0.09254820411,1.166455837,-0.1332674301
163,1.532064101,-0.3214983269,1.070766607
164,-0.1799748505,-1.321270303,-2.682661532
165,1.021923824,-1.09262664,2.1906151
166,0.2476732964,0.6476626467,-3.355862677
167,0.01536358144,-0.2455484367,-4.524093915
168,1.535000707,-0.4600692648,0.8481760499
169,-0.2658507709,-0.8487176756,-3.898687957
170,-0.955053234,-0.7139922073,1.178867367
171,-0.6728361017,-0.8080922285,2.407323384
172,1.429172824,-0.6346753501,-0.8628433766
