"Iteration","Bx x Bx","By x Bx","By x By","EC x Bx","EC x By","EC x EC"
1,0.992546017,-0.01618867965,0.9727759847,0.1286091868,0.1519200722,8.573428355
2,0.9803049908,0.004121891826,0.9687406895,0.07848469482,0.01078331029,9.173600203
3,0.9747212926,-0.01405828861,0.979088552,0.0906554665,0.1249441113,8.872865052
4,0.9798992401,-0.01916963251,0.9895975911,0.020213966,0.08408526261,9.298674221
5,0.9523540973,-0.02101273904,0.9587142774,0.008617633904,0.1268486604,9.099585991
6,1.007421008,-0.01267132412,1.001260091,0.01362056736,0.1338957825,9.031943177
7,0.9835546815,-0.02024267744,0.9706800957,0.04595697807,0.06537311242,8.843578229
8,0.9787808302,-0.02485241363,1.00029845,0.1031065726,0.01559650441,9.124515526
9,0.9668191071,-0.01902473593,0.989580106,0.08092111451,0.0623120866,9.408847904
10,0.996762422,-0.008967271815,0.9950246748,0.1327617043,0.03326272832,9.043480934
11,0.9770167273,-0.02110692257,0.9459494506,0.1344009485,0.05526455435,9.251336997
12,1.017517319,-0.03943392601,0.9407186376,0.1636974518,0.03095814343,9.420629602
13,0.976863165,-0.012069716,0.9830657221,0.07811256886,0.03144811852,9.175485807
14,1.01013793,-0.0193506852,0.9650163569,0.06865514394,0.0415790399,9.381648271
15,1.017293107,-0.01381823283,0.986291288,0.1036452081,0.03013715883,9.421431891
16,1.021560219,-0.01914762465,0.9881687582,0.09898136977,0.01232602095,8.867651246
17,1.017038848,-0.02640216396,0.9623139395,0.06531106504,0.01489722769,8.90922709
18,1.010353538,-0.02905234963,0.9663595631,-0.006447568661,0.06094269766,8.558945621
19,0.9970546845,-0.04556358788,0.9591818312,0.05809500547,0.0553042,8.545900862
20,0.9849047335,-0.04529652629,0.9523122466,-0.01263016811,0.05346045834,8.412451747
21,1.025981308,-0.0373231103,0.9796524539,0.03172371692,-0.01510672946,8.558826901
22,1.019800013,-0.02197819722,0.9584925207,0.01628945566,-0.08489557812,8.46793199
23,0.9754570099,-0.03077365648,0.9539574266,0.05873400477,-0.06017257716,8.254995956
24,1.016633006,-0.0468151488,0.9789018121,0.0439731018,-0.08403061816,8.514811463
25,1.006905002,-0.02863420789,1.001272805,0.06157315768,-0.05201694305,8.178536066
26,1.003726466,-0.01408416042,0.9280223056,0.05702801817,-0.08894951123,8.283446927
27,1.018894027,-0.02774551407,0.9941176985,0.1408130524,-0.09637035344,8.319718863
28,1.018402215,-0.009495539385,0.9393714026,0.05277664044,-0.07200999499,8.312736645
29,0.9947895849,-0.02552966651,0.9327325145,0.08003666126,-0.04736199396,8.098136084
30,0.9866496268,-0.03023631789,0.9481659233,0.02800573643,-0.0187428921,8.503649638
31,1.001125548,-0.01821736367,0.9265093227,-0.03369514559,0.03854581255,8.430719665
32,0.979069516,-0.03110480879,0.9115682671,0.03053290444,-0.04676708148,8.498938092
33,0.9483682398,-0.02131765569,0.916528608,-0.02402157893,0.08530564516,8.384112912
34,0.951177552,-0.006880386164,0.965657799,-0.07486038796,-0.04479302858,8.318046414
35,0.9723299526,-0.03321792435,0.9304693207,-0.01534196678,0.04557112963,8.571542952
36,0.960762584,-0.04492430533,0.9347399199,0.1080210793,0.05286559059,8.559392093
37,0.9760102274,-0.04708324767,0.9414932427,0.08759169573,0.002486104389,8.801270188
