"iteration","Bx","By","EC"
1,0.450174024395621,-0.455183284546474,0
2,0.447248346101876,-0.483342967490262,0
3,0.447550021892751,-0.465821670687987,0
4,0.440971676313845,-0.479945020671518,0
5,0.430684351788766,-0.484779353406046,0
6,0.453458290794738,-0.46581739933304,0
7,0.436262096379181,-0.458202154769591,0
8,0.442226242793699,-0.443479750506797,0
9,0.463069966586576,-0.443564132393691,0
10,0.460778300701331,-0.449553467593603,0
11,0.469568497378948,-0.437676970207441,0
12,0.470191766275362,-0.451964859176615,0
13,0.466194874299427,-0.455504976119583,0
14,0.455888775468685,-0.481405703266887,0
15,0.463193554506327,-0.477619311513669,0
16,0.453260898938207,-0.45717263508527,0
17,0.497222017406367,-0.453302100141872,0
18,0.473524615850394,-0.477596787763136,0
19,0.471340354385108,-0.474584536788887,0
20,0.468484487200273,-0.464667999756787,0
21,0.467460456456291,-0.470918850921563,0
22,0.461105489652523,-0.471307614320812,0
23,0.459134269951065,-0.46206278014674,0
24,0.453670208983959,-0.468643844956558,0
25,0.481693736961429,-0.455055536529957,0
26,0.479012919708901,-0.462017553790842,0
27,0.475325608977873,-0.470802635723322,0
28,0.463267194462932,-0.474416125425528,0
29,0.479352890963095,-0.453093432473846,0
30,0.481130896417473,-0.449013533912302,0
31,0.499763514419283,-0.437866535283799,0
32,0.494238305115237,-0.459247132298845,0
33,0.485318568887254,-0.470423559856276,0
34,0.476597077729535,-0.460036350320821,0
35,0.487500881383127,-0.45654174680088,0
36,0.499315684982181,-0.461114045379044,0
37,0.46179019512871,-0.444718995104793,0
38,0.467247755107492,-0.457156674899479,0
39,0.453717332750363,-0.459916643771095,0
40,0.469360305571215,-0.467089216851388,0
41,0.467332714756967,-0.444761973670797,0
42,0.462038700017271,-0.438921917739529,0
43,0.460508671582205,-0.465806980719185,0
44,0.492034353321136,-0.448549950544049,0
45,0.471464683707363,-0.446382972900616,0
46,0.479483765627463,-0.446446527496058,0
47,0.478723756030974,-0.464612893780734,0
48,0.502546802099021,-0.461806865763595,0
49,0.481522281348459,-0.449639730515536,0
50,0.490458620972895,-0.433353580384219,0
51,0.493537522841538,-0.477527107163768,0
52,0.504343641246764,-0.457412586460758,0
53,0.504142538652086,-0.465674304742165,0
54,0.492734806638935,-0.450219288084727,0
55,0.491073609510361,-0.455046245564919,0
56,0.500344473680512,-0.469751994070396,0
57,0.478351424155352,-0.494499772021602,0
58,0.461244084733048,-0.467528775962855,0
59,0.462776451083724,-0.446056504664558,0
60,0.484896401143938,-0.488740982868079,0
61,0.474166539941741,-0.473334340568741,0
62,0.507112893258872,-0.452078708302561,0
63,0.481157068434467,-0.459413329647877,0
64,0.510168609440266,-0.479763524174073,0
65,0.488252855559862,-0.459508446161273,0
66,0.465737815539666,-0.462177987386863,0
