"Respondent","Bx","By","EC"
1,0.3979151006,0.4029059936,1.801039279
2,0.697041989,0.7022894903,2.012938007
3,0.4523222218,0.6605297155,1.956226968
4,0.7188537001,0.3484673638,2.43131487
5,0.5851165057,0.4073026945,1.345607697
6,0.7462052211,0.3521003445,1.90073237
7,0.4113105137,0.6390388729,1.564127334
8,0.6358460939,0.6118966962,2.256252821
9,0.543696081,0.5091226256,1.646592957
10,0.4824493684,0.6665735964,2.122636492
11,0.457415501,0.3754217869,1.472642294
12,0.3827136633,0.3868595251,1.716181456
13,0.5697497579,0.7090564073,1.827152951
14,0.5731010785,0.5443730889,1.939077541
15,0.5057700444,0.3657986639,1.994188015
16,0.7514619143,0.6285554074,2.137050304
17,0.3639071289,0.2711062341,1.757853691
18,0.504654135,0.6343051016,1.916202135
19,0.4988498177,0.5289220778,2.155549552
20,0.6136307712,0.5620342017,1.598367247
21,0.6503948233,0.7984032156,1.542323539
22,0.6548037648,0.4933336633,2.309524772
23,0.5279636615,0.5286555662,1.712787523
24,0.6369966161,0.5025492048,1.855134049
25,0.6137709327,0.5692998779,1.89996294
26,0.6057329536,0.6757369912,1.814557327
27,0.7065162416,0.555857128,2.02368574
28,0.6874362617,0.6717773551,1.800552585
29,0.4495361036,0.4932683367,2.076378886
30,0.6704916869,0.5936994163,2.39067315
31,0.5690690505,0.5625132246,1.799929357
32,0.5993744375,0.5922023003,2.06039625
33,0.6381963306,0.5352876725,2.140870617
34,0.6154722411,0.689257664,1.994446755
35,0.7084340829,0.4545254275,2.029825035
36,0.3841516354,0.5466747856,1.724777282
37,0.6184909944,0.5873038981,2.521279746
38,0.7196960887,0.5259468731,1.343330074
39,0.8472635304,0.655730494,1.883853408
40,0.4736014175,0.6046541995,2.136231258
41,0.5608793245,0.7129282245,1.864878137
42,0.2373283198,0.6769702914,1.182175521
43,0.6270072899,0.5132711039,1.879796948
44,0.7184476866,0.5063286319,1.754281197
45,0.3336220335,0.3098895474,2.03723879
46,0.6237234054,0.5840142294,2.427802304
47,0.5367993409,0.6322675865,1.894225055
48,0.5579188055,0.4478229418,1.969806942
49,0.5638125798,0.5349699687,2.198176441
50,0.6443087945,0.4077311315,1.495600099
51,0.5344155651,0.6112435032,2.10939548
52,0.294808999,0.6462139814,1.561794787
53,0.3716173275,0.6961779363,1.71296228
54,0.3924904686,0.6267806054,1.674759383
55,0.6250045131,0.7072248729,2.663822391
56,0.5907153883,0.6287697142,1.913983843
57,0.7172628181,0.6205360296,2.108905739
58,0.649046249,0.3379424104,1.630672514
59,0.5891848867,0.5730776772,1.725069711
60,0.4427910577,0.6445353332,2.044167282
61,0.6877742731,0.5068779247,1.603014746
62,0.6924211432,0.585700261,1.885681276
63,0.6567285374,0.4894493957,1.600696549
64,0.4952966582,0.5071714889,1.901257066
65,0.3560710928,0.3013383942,1.488411984
66,0.5827505961,0.6188654059,1.76304755
67,0.447615924,0.4535140344,2.008109442
68,0.5621223514,0.4986229262,2.319951012
69,0.6103010619,0.6901557897,1.981187423
70,0.4981806747,0.6317758006,2.403727733
71,0.391817164,0.6123314717,2.150535106
72,0.5790340133,0.3747119494,2.094913441
73,0.6077044324,0.4998509124,2.300086499
74,0.5745669328,0.435109454,1.889456161
75,0.567248678,0.4550953841,2.499356093
76,0.5119067203,0.5410840725,1.53217728
77,0.5060481637,0.5189024722,2.150795255
78,0.6300432468,0.5026266241,1.757533998
79,0.4218521371,0.3937247984,1.766054086
80,0.3578180223,0.4455285208,1.649609935
81,0.6467983617,0.515227046,1.811293732
82,0.4410336325,0.6323744796,1.974142352
83,0.4246218172,0.4340760562,2.0170102
84,0.7349543695,0.3536916922,1.843409585
85,0.623409561,0.5308616115,1.816824774
86,0.5729147863,0.4911518158,2.224408779
87,0.5040070922,0.5918422192,1.870517417
88,0.661043094,0.5538747821,1.958219117
89,0.5295897737,0.578086893,2.22208551
90,0.5623720581,0.3060091613,1.487180303
91,0.3322815028,0.4001651704,1.802364386
92,0.5246464052,0.6003049673,2.353471818
93,0.6343998996,0.609691597,2.271021403
94,0.4870224473,0.5849308608,1.836947073
95,0.7289254022,0.6484702645,2.349465207
96,0.4529598298,0.4808224921,1.799580991
97,0.7432111589,0.4365558519,1.638193264
98,0.5509027393,0.4193357859,1.676758995
99,0.699354107,0.4038208941,2.029262422
100,0.6949747495,0.6532791354,2.456107721
101,0.5538671946,0.5411293714,1.81287026
102,0.6888527249,0.6864747474,1.948904861
103,0.590074002,0.6999276057,1.81861159
104,0.6690625694,0.4073482241,1.883133789
105,0.622067133,0.6800824545,2.602440617
106,0.4821059398,0.8144119539,2.121201895
107,0.6465873275,0.607523451,1.964076792
108,0.4500223005,0.550920704,1.944175611
109,0.5738279081,0.5168154808,1.911427121
110,0.6998451656,0.4991186985,1.518096495
111,0.4413558709,0.6067438175,1.503363305
112,0.5647932664,0.4181615973,1.903553085
113,0.5417413344,0.5438105535,1.949128606
114,0.4162860649,0.6742093146,2.15493829
115,0.3892089399,0.5137911962,1.791595435
116,0.7202806926,0.7179803285,2.095252267
117,0.5166307957,0.357109565,1.352327344
118,0.603113913,0.6147009778,2.055779337
119,0.6036505661,0.6909164231,2.476434357
120,0.4370988826,0.5759310476,1.999283534
121,0.2659886158,0.3391879633,1.466269228
122,0.6152539149,0.5025569798,1.851392085
123,0.7254924154,0.6021270296,2.540981709
