"Respondent","Bx","By","EC"
1,0.405417195070862,0.423069441447573,1.88016242913153
2,0.706087394459128,0.696021330454528,2.00494942206489
3,0.460233652838353,0.65949967064268,2.06839146566219
4,0.764038647332375,0.335441172348699,2.44869265297632
5,0.565091540243617,0.39001663312197,1.3224877072612
6,0.715384018553937,0.354401261740667,1.97616553817008
7,0.412520633821515,0.677151619512868,1.6403373517787
8,0.667443254883324,0.610302274340783,2.32404972641411
9,0.545368382455756,0.538921144959639,1.63575301080248
10,0.469682620648455,0.648803738574618,2.04373905106463
11,0.455900529144657,0.373354797888336,1.43429115897717
12,0.390489886955591,0.408368506089957,1.72713520660739
13,0.59640180146198,0.712617808619531,1.78266375292055
14,0.571498777779431,0.564426571645763,1.94936154501215
15,0.498689711818498,0.359419831155316,2.03529439299222
16,0.764869645767642,0.572001173477225,2.0898222486706
17,0.369385319325379,0.279326250695448,1.83540657162372
18,0.496735527819113,0.614547720128268,2.00082936250573
19,0.518176477425239,0.553756661219347,2.33883019051642
20,0.642604907566745,0.539666703797622,1.6046179805526
21,0.656052091399945,0.816852243353929,1.6036395952451
22,0.659996475150292,0.480563615524883,2.26289292238975
23,0.52366113506175,0.51347133759419,1.62034030264499
24,0.663827691531322,0.512315450397525,1.86912520867333
25,0.608350093762385,0.573707999265807,1.89769832581452
26,0.608150976598998,0.67919609589085,1.81657772145904
27,0.685082343938816,0.545131555123331,2.06489476484744
28,0.689581536753722,0.65222711081162,1.77866031447714
29,0.426696955224181,0.492973128969363,1.99175270841622
30,0.670595065832657,0.60671271280981,2.32935814413307
31,0.611030387525998,0.57763400584528,1.84549706606936
32,0.635449523664725,0.616825683479604,2.1521451315862
33,0.618797318819848,0.524805975852794,2.25521115208788
34,0.628131901966276,0.693147810262192,2.02521942978923
35,0.685903117482164,0.462173492671954,1.94692658518863
36,0.378507458968357,0.511185268429642,1.70753589153579
37,0.640187791843842,0.587789276553845,2.37620997216092
38,0.700829442661365,0.495101906331904,1.29028359504907
39,0.82595690594565,0.624883969307246,1.84676378032011
40,0.46795443231679,0.611503206633779,2.1416223156276
41,0.590060626707722,0.732524656862485,1.89970411888651
42,0.255323754967884,0.698646804883462,1.25407071906933
43,0.612070374891372,0.535808132572071,1.796553330025
44,0.745807404871884,0.524231310686824,1.79944599980724
45,0.345051344436729,0.323501410914329,2.02527304139843
46,0.651464439632141,0.633009489459877,2.5849322180813
47,0.527747975226652,0.624345663456376,1.92284939744578
48,0.543959513622899,0.47037594782796,2.03838334367199
49,0.556533790400089,0.520611252502314,2.13830712687623
50,0.607427603808623,0.441925775725467,1.54165541277017
51,0.542188931015496,0.6465225360042,2.10247490253994
52,0.269873105004553,0.595554872239559,1.49206918388118
53,0.378651284522862,0.661604739788697,1.74708172205749
54,0.399144824949156,0.634930265196278,1.65410203818842
55,0.602443546858045,0.675155429458567,2.74937751984219
56,0.609921043525667,0.653008030687157,1.94020294549969
57,0.716516082086797,0.652423302802757,2.02207536071871
58,0.635878236555456,0.338624677316831,1.61961542402032
59,0.609731654609691,0.570567117317431,1.75892349420384
60,0.451856217384922,0.669690004463405,1.96632305517135
61,0.664248162243539,0.514679964320239,1.6367782265253
62,0.722770804885833,0.582216211910105,1.84095416440547
63,0.671113485146491,0.500400496007476,1.56662144797842
64,0.521298226349367,0.524660921345515,1.91100716685165
65,0.354040481386051,0.296613268375253,1.43639081801524
66,0.571589472289186,0.618206207046067,1.75208870718281
67,0.470026271711581,0.44979195577768,2.04607941678809
68,0.553319392497333,0.494801541939433,2.35850865951387
69,0.602348418476823,0.708245157894841,1.91298234808665
70,0.505225760408097,0.641400050122149,2.42810439002694
71,0.398001632954467,0.644736171479371,2.30164937808584
72,0.597057907447464,0.370052059990156,2.11748271774434
73,0.652294636199103,0.535624159730092,2.34395524352339
74,0.566732098073295,0.435610542340889,1.83789710615294
75,0.597997069260223,0.445268728088251,2.506653891405
76,0.525397800640964,0.568591312897843,1.53321334888373
77,0.501527956944924,0.530932483525846,2.25986079323288
78,0.629923863664006,0.45164178319253,1.65555814812849
79,0.427147492147756,0.399885508780835,1.85805558135673
80,0.349643465831555,0.422668793617349,1.66245446874578
81,0.632914572431442,0.505206314856646,1.75799972904234
82,0.422452269081987,0.645673497940782,2.07373845857911
83,0.425593797429377,0.448449693014373,1.97315447587773
84,0.790368776830831,0.3412162507694,1.8320065574897
85,0.610722389438842,0.536959641398558,1.93966141748806
86,0.566502244493117,0.4974623930701,2.26293321152129
87,0.495264954039193,0.577349184048964,1.9394540243428
88,0.694270313637851,0.602315375666729,2.0289351706194
89,0.530852916780427,0.577836634525234,2.39753424882661
90,0.591850607928262,0.300776598596112,1.45830122083402
91,0.325890209569244,0.386944297188423,1.81929834163553
92,0.494945530859171,0.59084917258309,2.18600709974725
93,0.629313838363171,0.62413042880515,2.29481272825077
94,0.499339711267586,0.575566700622463,1.93096230637747
95,0.713394288181212,0.672884415463877,2.17066064295678
96,0.463443640999873,0.467088347916089,1.92927826959429
97,0.70956379891184,0.423600107068798,1.61193479590866
98,0.543646301183306,0.421933508964832,1.71134812226888
99,0.676775410412313,0.39750021694172,2.12887614637857
100,0.695276379056184,0.639679053064524,2.35665233208691
101,0.513141706396934,0.543388831941218,1.76118721639398
