iteration	ASC1	ASC1xBTime	ASC1xBCost	BTime	BTimexBCost	BCost
1	0.199563517	-0.020848661	0.066112054	-0.012268437	0.034708609	0.182955097
2	0.206845302	-0.020991416	0.065746709	-0.005313839	0.030629368	0.185426061
3	0.220613727	-0.016728007	0.06778255	-0.000827184	0.035802798	0.187254265
4	0.213578984	-0.020858515	0.069054074	0.005535069	0.031197578	0.180100528
5	0.237629957	-0.019374094	0.06593123	-0.005413533	0.029324486	0.175212531
6	0.223418004	-0.027070768	0.073405501	-0.012843845	0.030412342	0.17907984
7	0.230697545	-0.025193027	0.07047904	-0.007875673	0.028212827	0.178240755
8	0.23574098	-0.022889516	0.064769868	0.003019902	0.031556506	0.172471307
9	0.216839123	-0.020714005	0.066745151	-0.011756968	0.027649735	0.180121362
10	0.214068555	-0.023492221	0.071568738	-0.016550838	0.031855057	0.190668256
11	0.204257442	-0.019953101	0.069700788	-0.002703588	0.029730121	0.180360018
12	0.230318067	-0.022330782	0.071823297	0.000878429	0.026571192	0.190758986
13	0.212053375	-0.013556381	0.067143851	0.001823504	0.026315922	0.172776799
14	0.202838302	-0.018904137	0.068128509	0.002081707	0.026883694	0.190347707
15	0.201133934	-0.009333492	0.064997614	0.007227165	0.023006912	0.175565121
16	0.213547668	-0.018453699	0.06878902	-0.001450261	0.026937815	0.185154674
17	0.192269202	-0.014639474	0.066207994	0.001479153	0.022801801	0.17953733
18	0.197968466	-0.019739274	0.06639345	-0.007048327	0.03015016	0.188698496
19	0.180323038	-0.014918407	0.064256218	-0.004296051	0.032961864	0.192012074
20	0.19673598	-0.019891447	0.0692064	-0.014845047	0.03509189	0.193226095
21	0.184337956	-0.013923026	0.066007272	-0.011865292	0.032807226	0.197134595
22	0.187916891	-0.020227587	0.063626608	0.000321981	0.024836623	0.19530839
23	0.183071987	-0.020667285	0.06834424	-0.009933886	0.030519176	0.193254952
24	0.176874334	-0.025004649	0.074196832	-0.014020593	0.035269561	0.195047948
25	0.177567347	-0.022062317	0.074926973	-0.009038469	0.034618394	0.209254851
26	0.181084753	-0.024524511	0.075678851	-0.005697846	0.029381674	0.174513908
27	0.17523025	-0.020235776	0.074673836	-0.000905227	0.026999877	0.18444277
28	0.176058671	-0.025300214	0.073637322	0.005456025	0.032399104	0.198398107
29	0.171043108	-0.024734267	0.08471329	0.006154858	0.038398211	0.198017592
30	0.166738059	-0.023639027	0.079841588	0.000986251	0.035016841	0.204044215
31	0.192708953	-0.028203223	0.077139891	0.009281622	0.028941077	0.210507829
32	0.172830175	-0.023201832	0.072579558	0.001699414	0.031182409	0.19482693
33	0.176861796	-0.026380854	0.074164853	0.014637085	0.035440183	0.19346278
34	0.165536051	-0.021494291	0.072979111	0.014112391	0.024003977	0.186395531
35	0.181632708	-0.028031003	0.081591444	0.015123066	0.025546858	0.192737406
36	0.164289463	-0.025011752	0.07210525	0.007062114	0.03058122	0.184339396
37	0.169159055	-0.023354694	0.071101935	0.009405586	0.02644736	0.200167397
38	0.163882891	-0.020946632	0.072095772	0.011852662	0.019315978	0.186451494
39	0.149688229	-0.016705029	0.071375137	0.006131517	0.020471305	0.195532132
40	0.163057434	-0.011394448	0.076143628	0.004213324	0.031473245	0.184752339
41	0.175171664	-0.01144205	0.070631926	0.01810653	0.024834386	0.176058691
42	0.160593458	-0.018021425	0.067556589	0.017467308	0.028617711	0.194301952
43	0.150902554	-0.014674182	0.075297291	0.005111302	0.039221307	0.199598033
44	0.158102022	-0.01892572	0.069728871	0.009884313	0.031622028	0.207034058
45	0.162924639	-0.016572024	0.072809898	0.021701709	0.032976359	0.199717284
46	0.16934026	-0.01209862	0.069658359	0.012753481	0.033092728	0.192869457
47	0.152423557	-0.018673786	0.073004967	0.01143777	0.039509674	0.196266988
48	0.149047703	-0.019685943	0.068042938	0.006506368	0.03162454	0.196287688
49	0.15000638	-0.016955367	0.066996181	0.00438535	0.034595735	0.189446776
50	0.153945207	-0.019861907	0.072067173	0.015556937	0.034180099	0.180294327
51	0.15527773	-0.013295566	0.067175975	0.011928892	0.027532197	0.171564901
52	0.146929179	-0.01419641	0.066717363	0.009982807	0.025553541	0.175328683
53	0.148763804	-0.0189523	0.069942545	0.00763387	0.026761416	0.178805359
54	0.156804396	-0.013515223	0.069820542	0.012061655	0.02892302	0.213152531
55	0.144402599	-0.017365	0.070993557	0.009097991	0.01923321	0.209411333
56	0.14352244	-0.015810659	0.066453623	0.009345696	0.022309495	0.205003438
57	0.144821361	-0.014888148	0.069543404	0.004580614	0.031113645	0.198064425
58	0.146359726	-0.009906261	0.067465376	0.01105642	0.025216359	0.199039034
59	0.144148862	-0.010711427	0.072053307	0.002330689	0.031759281	0.201216767
60	0.14787251	-0.003515885	0.068896005	0.008727731	0.032733178	0.215919146
61	0.139314871	-0.007221994	0.073262743	0.007342183	0.030236022	0.204185316
62	0.143305803	-0.00904354	0.066549467	0.011592919	0.028719567	0.19234447
63	0.129062515	-0.005682053	0.061911762	0.002528352	0.025239417	0.178113418
64	0.12539635	-0.007582828	0.062937708	0.00220406	0.025244974	0.177369509
65	0.13461198	-0.005759716	0.061819096	0.00815617	0.033142845	0.18953629
66	0.145202292	-0.004665929	0.057967489	0.014892042	0.026503216	0.182144323
67	0.133403877	-0.004689833	0.062818006	0.007232517	0.032452455	0.196128638
68	0.132236026	-0.009140096	0.062563174	0.006591102	0.029103152	0.185585568
69	0.129878178	-0.00577333	0.066043897	0.002098214	0.032638694	0.184436432
70	0.122982467	-0.010046957	0.064321336	0.002239429	0.027449218	0.194930576
71	0.132647432	-0.00986133	0.061972916	0.012881855	0.032188414	0.197602342
72	0.130349759	-0.006051039	0.066221342	0.003241996	0.031912146	0.194772399
73	0.121140312	-0.007635741	0.063161099	0.011686842	0.030168422	0.191036505
74	0.11777983	-0.008175439	0.068283541	0.013934937	0.033688334	0.193656033
75	0.134875341	-0.007424167	0.065763834	0.005435228	0.032093008	0.195436218
76	0.127841142	-0.006047029	0.066447098	0.009071379	0.031067369	0.195306812
77	0.122586659	5.69E-05	0.073920672	0.004031294	0.029461212	0.181768019
78	0.12247819	-0.001100215	0.067318716	0.010929963	0.026314036	0.186602371
79	0.118449452	-0.004318609	0.066825516	0.002805924	0.029825527	0.188921359
80	0.115918027	-0.003665282	0.065049235	0.003913457	0.028791579	0.183133349
81	0.112275356	-0.008536318	0.066563441	-0.008062017	0.029149926	0.1890311
82	0.121957327	-0.008082236	0.06805257	0.002519981	0.025117394	0.174040392
83	0.118294165	-0.0090441	0.063215829	-0.004747806	0.028305639	0.17812755
84	0.116059331	-0.006174571	0.06751966	-0.004004451	0.030876468	0.174789846
85	0.106945173	-0.00713056	0.071194884	-0.000627533	0.030156055	0.178438934
86	0.11361027	-0.008410166	0.071974107	-0.003643756	0.027469948	0.17570468
87	0.105741068	-0.003826792	0.068190566	-0.0051217	0.025645545	0.186239848
88	0.111478745	-0.005441642	0.069951496	-0.004712191	0.038478499	0.17976838
89	0.112100086	-0.011672834	0.066622923	-0.007138033	0.029902457	0.176201154
90	0.101498588	-0.008796551	0.06850906	-0.011325659	0.031041817	0.171558291
91	0.107545698	-0.005539897	0.068231673	0.001016138	0.033798158	0.175801028
92	0.110210797	-0.007519647	0.069103879	-0.005021942	0.03170517	0.182647842
93	0.101303386	-0.005860999	0.075822784	-0.006574551	0.038101481	0.188537085
94	0.102278725	-0.010891705	0.074976993	-0.005765788	0.036872294	0.186119353
95	0.107254744	-0.010336296	0.073447138	-0.008643676	0.038985867	0.173603085
96	0.116687963	-0.00726279	0.073719401	-0.005076417	0.032221678	0.176264972
97	0.102621539	-0.007209625	0.074354061	-0.002877431	0.030786394	0.170726815
98	0.104359222	-0.003141504	0.077379382	-0.004350424	0.031445622	0.180562443
99	0.106757345	-0.005882544	0.06982415	0.005117343	0.024689254	0.172619378
100	0.1017332	0.001517324	0.070858595	0.008865016	0.028910212	0.168457643
101	0.097429529	0.002062575	0.069873744	0.006963632	0.036896114	0.186745521
102	0.100965738	0.002991955	0.074348371	-0.001926898	0.038884311	0.187407536
103	0.106508093	-0.005735374	0.06986752	-0.003510702	0.033492288	0.187230618
104	0.094506312	-0.002894524	0.076746714	-0.007751229	0.040787752	0.200583695
105	0.100892783	0.001101636	0.071823494	3.06E-05	0.037376044	0.195558896
106	0.101800231	-0.00250825	0.064628585	-0.00578208	0.026179803	0.179889514
107	0.103473668	-0.00219541	0.063991233	0.001406045	0.025293098	0.173820136
108	0.094900546	-0.003004285	0.062229943	-0.00401833	0.026984366	0.188897316
109	0.103128227	0.002228191	0.063772211	-0.010130397	0.031250387	0.190763181
110	0.097887375	-0.000325383	0.069395512	-0.012713909	0.032133658	0.162383222
111	0.09163359	0.000575564	0.069674004	-0.008301735	0.033392117	0.17169921
112	0.094277535	-0.002011175	0.072302254	-0.012014562	0.03316028	0.167941581
113	0.088920259	-0.003211153	0.075600071	-0.017543784	0.039449187	0.168456203
114	0.092390455	-0.001561365	0.073384788	-0.011562053	0.033876581	0.182412661
115	0.101579225	-0.002416357	0.081562282	-0.016712996	0.035123301	0.178588767
116	0.104303833	-0.000833743	0.081469483	-0.016304135	0.032274728	0.187522388
117	0.097391936	-0.001615066	0.075078804	-0.015128942	0.027723642	0.165668451
118	0.102009864	-0.004879173	0.084389477	-0.015700379	0.038507272	0.171082585
119	0.096229456	0.002345921	0.079778363	-0.004229353	0.03110432	0.183249268
120	0.099429194	0.002123056	0.084345619	-0.016015295	0.029670701	0.168210729
121	0.100286508	0.001952747	0.080653207	-0.017602988	0.030545064	0.171052737
122	0.096420328	-0.002718779	0.077373859	-0.01569966	0.032517089	0.182273983
123	0.095835685	-9.91E-05	0.074093251	-0.013226692	0.030037206	0.159684187
124	0.09238404	-0.001252567	0.072936905	-0.009394973	0.029225723	0.161611388
125	0.093479969	-0.000451069	0.076784252	-0.012655745	0.033156834	0.170241338
126	0.091800206	-0.005655022	0.075908882	-0.007590691	0.03450517	0.171556219
127	0.099208056	-0.00269332	0.072896463	-0.019346971	0.028764623	0.167157702
