"iteration","Bx_class1","By_class1","Bx_class2","By_class2"
1,0.487863652500991,-0.416337597105247,-0.183677803366394,0.118272425487046
2,0.483044290820293,-0.381444093298471,-0.195888100836971,0.127501334084474
3,0.471241200000263,-0.391150968408497,-0.185653750953122,0.121699146409385
4,0.513666870078696,-0.379026175450097,-0.175303886854164,0.112260570387863
5,0.484691812155629,-0.402860663476593,-0.178715430115269,0.10923802981448
6,0.470876271050145,-0.405137233172277,-0.171562254929226,0.105161244671932
7,0.493111699720509,-0.401100601972427,-0.185016601172415,0.111003368599934
8,0.489292162517093,-0.411671734813065,-0.177779178535109,0.0965623660466623
9,0.49040079121468,-0.406795752988644,-0.181576810030594,0.110018309763271
10,0.46918614044671,-0.378596052887999,-0.186269344717775,0.103531426687667
11,0.46445588363775,-0.396453434538956,-0.161555149881552,0.103782892386839
12,0.484156244271323,-0.410070652647771,-0.195933587187082,0.0971879297967305
13,0.470030728036339,-0.420924372787628,-0.167073974542661,0.104407104806642
14,0.46576195262511,-0.38289323519635,-0.183368721691393,0.0652522830027209
15,0.464732588883573,-0.415528201870767,-0.18237195094616,0.091194843785976
16,0.474560781426992,-0.392267755997199,-0.18378796326329,0.116075373614743
17,0.493921966819882,-0.377045741284417,-0.177198084378565,0.101252225809694
18,0.484160796900977,-0.416132509925438,-0.184323532927394,0.131249973761541
19,0.487696972637271,-0.42700806359932,-0.187287687391578,0.082668777618814
20,0.45691450382793,-0.448470913378567,-0.186629017004205,0.0977384141000659
21,0.535842339098285,-0.455685700618687,-0.198660719915508,0.0700867787449659
22,0.474561886427078,-0.377650658616638,-0.179631536765583,0.0928649674949556
23,0.482298132300141,-0.424377413222935,-0.193234179128167,0.0936899542891731
24,0.515830406098218,-0.44461624757266,-0.182110689856901,0.0962645433833393
25,0.490600614118227,-0.412277222852035,-0.1742674951006,0.098971583881214
26,0.469911509989623,-0.414963424632362,-0.211256651459382,0.114136572102341
27,0.502711924153004,-0.391397686381436,-0.197739791248669,0.0873586809180446
28,0.515213069919008,-0.421243189082106,-0.20710943405627,0.0698811520359203
29,0.498619795443269,-0.408032217017155,-0.154677299309914,0.0747654292144178
30,0.496286136436127,-0.411835835223698,-0.173899265468772,0.0684571881223445
31,0.468203544174284,-0.451462413635362,-0.195735427930949,0.083135310066028
32,0.503114097429436,-0.435050840410411,-0.183280733399212,0.0913873910034038
33,0.467711694807045,-0.441101879536666,-0.176584502023057,0.124386163683868
34,0.487286093489815,-0.411574810988395,-0.176474164920989,0.0724737609613886
35,0.484765621186044,-0.425279396045295,-0.175684789701589,0.0906495668802312
