"","brand2","brand3","brand4","brand5","price2","price3","price4","price5"
"brand2",2,0,0,0,0,0,0,0
"brand3",0,2,0,0,0,0,0,0
"brand4",0,0,2,0,0,0,0,0
"brand5",0,0,0,2,0,0,0,0
"price2",0,0,0,0,2,0,0,0
"price3",0,0,0,0,0,2,0,0
"price4",0,0,0,0,0,0,2,0
"price5",0,0,0,0,0,0,0,2
