"iteration","Bx","By"
68,0.5099832756,-0.5166642476
69,0.4970417627,-0.50988405
70,0.4643073865,-0.5127974928
71,0.5168193231,-0.5066646699
72,0.4887723712,-0.5245754484
73,0.5122469426,-0.5156234767
74,0.5065823701,-0.500837922
75,0.4864152543,-0.5258928786
76,0.4788373688,-0.4937970896
77,0.4552952413,-0.5336291562
78,0.4827044021,-0.4884541362
79,0.4547149096,-0.4905915276
80,0.4733653239,-0.4619757628
81,0.4606259483,-0.4593277414
82,0.4950396163,-0.4434819515
83,0.476997896,-0.4721812966
84,0.4951726651,-0.4875717133
85,0.4875897347,-0.4871756228
86,0.5035915373,-0.4653540767
87,0.4835427558,-0.4750524651
88,0.4552258165,-0.4932266388
89,0.4659395462,-0.4752459376
90,0.4817714507,-0.4906064155
91,0.4848631125,-0.51049176
92,0.4738768479,-0.5033402286
93,0.4664309347,-0.5054679309
94,0.441015047,-0.5488221635
95,0.4436026849,-0.5124457285
96,0.4605138575,-0.5245910492
97,0.4611604111,-0.5217207631
98,0.4568014408,-0.5241453726
99,0.4559730898,-0.5176693331
100,0.4769691965,-0.5196923398
101,0.4703008739,-0.5312087662
102,0.4489193824,-0.5094061483
103,0.4791864107,-0.51621601
104,0.4721090709,-0.4873234695
105,0.4771319814,-0.5065775318
106,0.4754367716,-0.5195323791
107,0.4768666736,-0.5140261641
108,0.4665904549,-0.5085059263
109,0.4443754979,-0.4948766363
110,0.4587307023,-0.4892017811
111,0.4621333894,-0.5088341006
112,0.4309889139,-0.4715888562
113,0.4427066713,-0.5003843853
114,0.4202124961,-0.4888606995
115,0.4171170324,-0.4900109483
116,0.4247603375,-0.5099133971
117,0.4740799311,-0.5109381364
118,0.4186513306,-0.5123454157
119,0.4377488586,-0.5167589029
120,0.4549746579,-0.5207015836
121,0.4416189765,-0.5428044204
122,0.4466754408,-0.5221478786
123,0.4532932512,-0.5237072384
124,0.4495888753,-0.5301242643
125,0.4036649076,-0.5468270776
126,0.4578925025,-0.5383422433
127,0.4113505485,-0.5385423316
128,0.4403833543,-0.5385617293
129,0.4372729775,-0.5393085671
130,0.4533284604,-0.5430006506
131,0.4533299997,-0.5383542431
132,0.4751021357,-0.5508383167
133,0.4690414565,-0.5182491269
134,0.4527443382,-0.5080645069
