"Iteration","Bx x Bx","By x Bx","By x By"
1,0.9790419438,-0.1170690136,0.773880299
2,1.005641528,-0.1064095933,0.7852652782
3,0.9963110467,-0.0725583521,0.7796787753
4,0.9513296709,-0.06660763067,0.7795395019
5,0.9185602536,-0.06123920499,0.7768451648
6,0.9536825226,-0.06605271775,0.7814544496
7,0.9499377217,-0.05228166026,0.8048711696
8,0.9098427206,-0.05072441022,0.8118395834
9,0.9294348519,-0.06744320304,0.8116306609
10,0.9420111452,-0.05119496798,0.8202237425
11,0.9298508024,-0.02493152175,0.8195499263
12,1.002141757,-0.04168837606,0.82745843
13,0.9547290553,-0.02422659635,0.823085614
14,0.9452336003,-0.02884565603,0.8121185794
15,0.9397391441,-0.04120415699,0.8210895391
16,0.9526937895,-0.04220074885,0.8300103674
17,0.9346584332,-0.0522184379,0.8749563626
18,0.9393693849,-0.0586817516,0.8412341287
19,0.9642773346,-0.04696502728,0.8179986527
20,0.9859467768,-0.04707589169,0.8199504242
21,0.9806048239,-0.05867981607,0.8297139352
22,0.9352767738,-0.04525548731,0.7955108587
23,0.9662244493,-0.04872786302,0.8030465342
24,0.9626989992,-0.01169167498,0.7816879745
25,0.9392771438,-0.02702532059,0.7728172155
26,0.9539958525,-0.03179745201,0.7713164989
27,0.9935819337,-0.05425113747,0.7944869222
28,0.926156601,-0.04036604498,0.7812285013
29,0.924694544,-0.07735191286,0.7855969547
30,0.9872593086,-0.07736687433,0.8031870637
31,0.9674835981,-0.06041146885,0.8154133735
32,0.9418775692,-0.07318295899,0.8050041314
33,0.9294132466,-0.07192741987,0.8015724756
34,0.9204052466,-0.06081018076,0.8161895143
35,0.9042311525,-0.05571533983,0.8256010582
36,0.910671684,-0.06400819397,0.8160913338
37,0.9297383076,-0.03834775759,0.7921728472
38,0.93441114,-0.04736873245,0.802354903
39,0.9611516432,-0.08236394991,0.823745033
40,0.9643735342,-0.06097011077,0.7701777297
41,0.9576629019,-0.0871026406,0.8021989683
42,0.9377495332,-0.08766031184,0.7877586586
43,0.9492288456,-0.07705365345,0.7728535394
44,0.9427463013,-0.0541741099,0.8054573563
45,0.9515355208,-0.07302452894,0.8065028382
46,0.9927491555,-0.0639369903,0.7943530366
47,1.006626506,-0.07900536571,0.8039556661
48,0.9795426579,-0.06233907966,0.8126926699
49,1.003335902,-0.07067640545,0.7963911264
50,0.9995495984,-0.08594238125,0.7861682152
51,1.022456362,-0.06816464141,0.7875050162
52,1.01051933,-0.0547466908,0.7951784496
53,1.007180264,-0.03952667756,0.7662470027
54,1.039186761,-0.07642274832,0.8041930916
55,1.051148613,-0.07058759849,0.8080912367
56,0.9863798527,-0.07724053165,0.854277541
57,0.993626179,-0.07866866964,0.838933766
58,1.022780323,-0.08703481561,0.8275915386
59,1.027333575,-0.07269922958,0.8439201387
60,1.044852124,-0.09499170783,0.8756868927
61,1.016793029,-0.07831501827,0.8656929521
62,1.013917415,-0.06966020995,0.8227287213
63,1.040215242,-0.0874882166,0.8420275192
64,1.05416632,-0.08060789548,0.8248909383
65,1.08611889,-0.05721215638,0.8277016534
66,1.065922415,-0.07091349366,0.8374869202
67,1.061202962,-0.0755387248,0.8556046495
68,1.109693135,-0.08599364572,0.8331238091
69,1.05444033,-0.07115425184,0.8121164989
70,1.05160526,-0.08002009809,0.796785035
71,1.069189386,-0.07039684014,0.8160996774
72,1.052388887,-0.05997890737,0.8124708826
73,1.064061561,-0.03090547037,0.8098536619
74,1.085521754,-0.0553489894,0.7895817314
75,1.09938595,-0.05193935831,0.7862698739
76,1.141300578,-0.0390362474,0.8104262533
77,1.084120043,-0.0210761756,0.7697106378
78,1.103094057,-0.04437964449,0.8002069625
79,1.09864813,-0.02463948695,0.8004600916
80,1.102147153,-0.02687698598,0.768294169
81,1.098646944,-0.03930720233,0.7584717067
82,1.099076801,-0.0100341506,0.80093985
83,1.132678148,-0.02113566818,0.8079364638
84,1.041842622,0.002124109222,0.7666558636
85,1.066605674,-0.01371068881,0.7954171649
86,1.073579609,-0.02480658136,0.834222041
87,1.069015641,-0.02347812846,0.8037271903
88,1.071512781,-0.03687737354,0.7979670913
89,1.034118444,-0.02715366971,0.805842206
