"Respondent","ASC1","BTime","BCost"
8738,0.6586798351059,0.160064836175729,0.396811249644125
8740,0.659455100625695,0.164372295085227,0.382465790096326
8741,0.668947436490822,0.200350010489109,0.383872832479236
8742,0.669608157246088,0.156323915366566,0.39854539889353
8744,0.656504183255184,0.158746616994506,0.400815305820153
8745,0.628353746702954,0.160659439875435,0.372819811257495
8746,0.683034526458891,0.179582301376484,0.387926107067571
8750,0.661678202651593,0.135465962323537,0.385453398060979
8751,0.667860156742253,0.136707090870363,0.33690195509069
8752,0.69310722607563,0.167711927725731,0.394070848872487
8755,0.648983071162672,0.140464151588157,0.379871678075786
8759,0.648990186488997,0.150712864128931,0.39461421125548
8762,0.689571247390958,0.183298181259179,0.392091401585815
8763,0.665171916958868,0.119257917982439,0.3892257226075
8766,0.643676085333851,0.158646172177458,0.378683636808286
8771,0.677371946032255,0.128274549482224,0.34898481387033
8774,0.679271237492602,0.171022866513173,0.39394961697191
8775,0.684184928254601,0.195487278857916,0.400901407726928
8778,0.666767426940249,0.157973590461218,0.395037990237042
8779,0.657694973940057,0.135399042670138,0.351014331330987
8780,0.669483458079302,0.170370419980879,0.38851955848756
8787,0.697437425124767,0.19781795986231,0.396787412123919
8800,0.662300455566926,0.0938140691783659,0.349267278901603
8804,0.647720081831719,0.117444596591862,0.375451026203073
8806,0.658605915774707,0.123291295741943,0.366312803408569
8808,0.673531789717004,0.169181414921198,0.40040628981611
8814,0.664086610820454,0.171490639007071,0.396232820130035
8815,0.636006316720901,0.101435370590655,0.379273299644637
8816,0.700349509091783,0.173765368522683,0.386418356929467
8826,0.695943829036628,0.165987559590022,0.39529935277788
8829,0.641227235242388,0.094446602404871,0.325926987627944
8830,0.677659088934251,0.16887037782759,0.42142054403406
8831,0.692370985617078,0.175949299821532,0.403972782724252
8836,0.665802579027496,0.142116606723893,0.393088778864012
8838,0.682491609557689,0.168110904377127,0.420468235903867
8841,0.690326506225151,0.179218371803501,0.382247701181838
8844,0.660401514949056,0.159280968446565,0.389452030741194
8852,0.711288687259237,0.195593809864327,0.411859148862543
8854,0.675353177072744,0.193318610450708,0.404688802163098
8855,0.678482101320488,0.173490448204586,0.380106534778135
8856,0.689708830834582,0.132386811185606,0.384126777696708
8858,0.672901726978913,0.19293248888851,0.40404574255483
8864,0.620599960921921,0.084169313209618,0.36371327855403
8866,0.691067324271447,0.172267103396377,0.391730894461732
8867,0.647879430137664,0.0775917831858624,0.332014112180074
8868,0.632973557707064,0.173710510204826,0.318337260671386
8873,0.666901363135807,0.167857526807939,0.383663546472798
8877,0.657412274067241,0.169581376139844,0.385674393153892
8879,0.689177889131261,0.109728032710279,0.387442780920257
8890,0.678421008556429,0.170133234499357,0.389937036995449
8893,0.6571358480437,0.173514960811628,0.389700496457662
8895,0.669513837574919,0.122026633565765,0.391935916161258
8896,0.676829465171798,0.108977343788528,0.37179721841188
8897,0.674590486045891,0.194213740125779,0.404143897088714
8899,0.679165782253884,0.163881530313117,0.397321697829949
8902,0.659094851641263,0.106728983710005,0.368087108604124
8906,0.648277034178803,0.172273522390078,0.393289518228385
8907,0.644701988755295,0.140630353533284,0.398200762139564
8913,0.675746966870781,0.155546355571852,0.397778436533727
8914,0.655233162437357,0.100090059674082,0.356429607807896
8917,0.681780600339173,0.153894039701933,0.393116522580035
8921,0.66486963943319,0.150394258958662,0.388456907591027
8922,0.714237140451962,0.176006732634629,0.388963053839847
8928,0.678799920100574,0.151183025306293,0.386843424579281
8929,0.667580300100777,0.159827726113034,0.392739188161366
8931,0.668980557669463,0.15066550369591,0.331456001526246
8934,0.634043987144014,0.136009840633099,0.352937523987173
8936,0.677527428801313,0.193928426218469,0.407776381299525
8937,0.680965136623569,0.172449503507985,0.390178158413254
8938,0.645873448653003,0.158922276201395,0.388034289505787
8943,0.672459728177264,0.176519552736273,0.402885412166267
8945,0.667365405583163,0.195996589643587,0.406938577926803
8954,0.665111203726914,0.17718112855501,0.399868104274869
8956,0.698186650076589,0.190703704868612,0.400601573428102
8957,0.69885729336487,0.153991161020591,0.388595710097694
8959,0.698641486075915,0.171752653858725,0.405164073838606
8966,0.685744145081318,0.168663006647557,0.392344190003052
8968,0.661773098942648,0.169156914548057,0.391575690420116
8972,0.661529951512215,0.158532174759674,0.409620367147365
8973,0.693771042068446,0.175697769559603,0.396709200097989
8977,0.677744383519088,0.160878219682609,0.386324742002231
8979,0.687735880263358,0.200015525753882,0.390012173134918
8981,0.677066485847008,0.156272738346833,0.402134267782037
8991,0.668291412520351,0.159611500054091,0.396373687170786
8993,0.679120630529494,0.20613239204524,0.400793661719106
8996,0.638599724155748,0.144009653830183,0.399011372759028
8997,0.680612373255007,0.202564478336553,0.398581819791908
9001,0.673850842001283,0.172612114681081,0.386505000012841
9003,0.66197115302799,0.161451133760088,0.390986196902516
9009,0.681026278513583,0.134558450845473,0.400373200305815
9012,0.655722642066492,0.161781201813946,0.394740167209466
