"Respondent","RLH","price","brand2","brand3","ff2","ff3","feat2","feat3"
1,0.5952484365,-0.9340757099,2.225376864,-3.600279951,-0.8241633013,1.02405811,0.9451899259,2.373313256
2,0.5248132275,-2.28953376,0.5949144927,-0.9111042884,0.01561201202,-0.2161149703,0.7957498325,2.885460817
3,0.5461340094,-1.868811908,1.86793095,0.1433323941,2.071690749,-0.05450473915,0.2626628699,2.108978862
4,0.4610060196,-0.9018064397,-0.4743441794,0.2796404004,0.8858768553,1.025539165,3.438196622,0.1983793254
5,0.3765867106,-1.020130169,0.7238933958,-0.08296949798,2.783713866,0.4605806539,1.93651524,2.022008333
6,0.4333244348,-1.832234206,1.092901008,-0.9990134519,-0.5374592003,2.271416944,0.9022137336,1.373078798
7,0.5323126414,-1.216661551,1.94970745,-1.874123897,-0.2246327104,1.587596713,0.9219899629,3.881087222
8,0.7051302908,-1.433988023,2.105305146,-0.7898949549,-0.5440502814,0.2812133532,-0.02069557782,4.577909679
9,0.501148386,-1.673435499,0.9272212377,-0.8859179268,-1.495575724,1.187505528,2.368171661,2.849372388
10,0.5416030826,-1.464293601,2.195865492,0.343962827,0.5790258259,1.01225578,2.231333255,3.525152634
11,0.5719839514,-1.889786613,1.000556316,-1.740349225,-0.680328422,1.831817893,2.60675392,1.724752025
12,0.3808326102,-0.8783944287,1.284917883,-0.7791839674,0.9591840746,2.410577441,0.7460221788,3.00228882
13,0.4781377971,-1.646499069,1.758062051,-0.7428141188,0.4065519159,0.6162398545,-0.7750917367,2.574571899
14,0.6294448912,-0.6156652871,2.421716098,-1.919496957,-1.419808441,0.7569757124,2.392270828,2.753810643
15,0.5065576815,-1.360418854,0.2971471428,-0.9666056197,-0.6297889733,2.465738696,2.513149827,2.483935255
16,0.6695954263,-2.019572711,0.2619862018,-0.5334230128,-1.47656075,1.195072655,0.7715525897,3.083418798
17,0.526528454,-1.451722038,-0.3037913759,-1.06388336,1.2688975,0.04816717725,1.901536872,4.060439153
18,0.6767250794,-1.180562237,2.785691475,-1.534923515,1.257811411,1.64128059,2.670251232,1.601510314
19,0.4179697746,-1.331561832,2.013651762,-1.616176327,-0.6380205479,0.3118090477,3.027895492,1.301256526
