Model Name:	Model1	
Number of individuals:	1000	
Number of observations:	10000	
Number of preliminary iterations:	25000	
Number of draws used per individual:	25000	
Random Seed:	1987	
Total iterations:	50000	
Prior Variance:	2	
Degrees of Freedom:	5	
Number of parameters:	7	
Random Parameters estimated (Distribution): 
price ( N ) 
brand2 ( N ) 
brand3 ( N ) 
ff2 ( N ) 
ff3 ( N ) 
feat2 ( N ) 
feat3 ( N ) 


Estimated:	Mon Jun 09 12:34:51 PM 2014	
----------------------------------------------------------- 

Iteration Log-Likelihood RLH Parameter RMS Avg. Variance Acceptance Rate (Normal) 	
43000	-6636.2	0.534718	1.911126	3.678732	0.292
43500	-6709.264	0.5312297	1.895714	3.613633	0.33
44000	-6553.818	0.5382844	1.917845	3.663095	0.288
44500	-6524.31	0.5401526	1.936343	3.786792	0.275
45000	-6604.657	0.5356865	1.968503	3.907551	0.31
45500	-6617.557	0.5360618	2.014596	4.069604	0.322
46000	-6560.743	0.5377039	1.931341	3.780856	0.313
46500	-6775.103	0.5290947	1.905301	3.645702	0.303
47000	-6567.458	0.5368092	1.931443	3.707421	0.323
47500	-6559.489	0.5385845	1.903145	3.636215	0.297
48000	-6585.5	0.5360005	1.928013	3.737311	0.292
48500	-6562.69	0.5387386	1.984555	3.955221	0.302
49000	-6713.879	0.5311751	1.959752	3.885311	0.321
49500	-6566.936	0.539175	1.970976	3.892471	0.265
50000	-6503.845	0.5414373	1.955482	3.789346	0.282
