"iteration","price","brand2","brand3","ff2","ff3","feat2","feat3"
1,-1.447839609,1.372695463,-1.14524475,0.266696827,0.7900409126,1.504799348,2.183883615
2,-1.526089033,1.520626502,-0.9964209191,0.1230494164,0.7756155269,1.443843372,2.182841333
3,-1.496634233,1.443680732,-1.012286918,0.1946824645,0.8089120407,1.511374789,2.248333483
4,-1.502208987,1.505632072,-1.060003513,0.1733609145,0.80673652,1.574521831,2.250203738
5,-1.510553457,1.516081697,-0.9951469724,0.2230161189,0.784586363,1.461650905,2.3003709
6,-1.479607601,1.476377404,-1.069604341,0.1702404813,0.8207833907,1.509884736,2.311058493
7,-1.467228947,1.471397299,-1.011818575,0.1866216907,0.8242405487,1.486860221,2.278375073
8,-1.50567391,1.557320122,-1.00170184,0.2606314482,0.8099786307,1.504818653,2.23857201
9,-1.51436844,1.514639208,-1.081214509,0.2167450406,0.8331023736,1.468344805,2.286187597
10,-1.49352132,1.449468691,-1.031000709,0.2884910711,0.8203184281,1.393265939,2.242992875
11,-1.487326855,1.479101565,-1.05222453,0.2585783466,0.7546340867,1.462426842,2.28179128
12,-1.47225885,1.406858562,-1.064084037,0.1353725968,0.8013284977,1.546096153,2.24134267
13,-1.537444162,1.452183006,-1.058387561,0.2331998537,0.7383460285,1.458704849,2.178019508
14,-1.510752056,1.438584899,-1.082128932,0.1733396502,0.7543259447,1.459938444,2.215908531
15,-1.49152381,1.417889803,-1.115711547,0.2616565593,0.7675266473,1.50873676,2.194237683
16,-1.523186455,1.398446715,-1.004657905,0.05317794437,0.7609510338,1.512222877,2.267615757
17,-1.557005315,1.43851484,-1.075955932,0.1252895593,0.8282248553,1.491308447,2.102433307
18,-1.515308368,1.432326869,-1.021691216,0.1462762718,0.7635259256,1.483368635,2.28077297
19,-1.487015594,1.41235143,-1.051563636,0.2096497633,0.7861685174,1.584743879,2.331459073
20,-1.501875838,1.367992861,-1.029317242,0.0913278242,0.8560882866,1.518750295,2.293831391
21,-1.524551395,1.466891093,-0.9957183628,0.2325497127,0.7614327824,1.537983239,2.274112966
22,-1.489487693,1.431024417,-1.074560538,0.1571408359,0.6974728757,1.536735982,2.20574117
23,-1.555329945,1.536377116,-1.02265834,0.1858711489,0.6926100099,1.551525773,2.222180683
24,-1.482749693,1.370282297,-0.9818644315,0.1210634916,0.7933439236,1.544930576,2.195425408
25,-1.542696806,1.450917026,-0.9863345584,0.2241017805,0.8415504917,1.556108472,2.135243195
26,-1.532679758,1.473524805,-1.092312755,0.2077168934,0.8199246768,1.416336921,2.21774739
27,-1.534806681,1.520980109,-1.029558046,0.1218698274,0.8786084614,1.471935113,2.3225205
28,-1.537960208,1.436962358,-1.012009807,0.1551706903,0.8124815905,1.520897847,2.249877743
29,-1.53868234,1.441236386,-1.000553107,0.2516793515,0.7934231947,1.447565391,2.244938432
30,-1.559593424,1.382215692,-1.084339173,0.1916328972,0.8579445961,1.579139033,2.208361872
31,-1.55108302,1.415062598,-1.059920628,0.08879831698,0.7842656468,1.544387263,2.265304437
32,-1.537610163,1.51951043,-1.092739664,0.11122965,0.6884312553,1.506838012,2.231281934
33,-1.63517652,1.407502699,-1.092105678,0.1517906376,0.7584055517,1.499563211,2.322892948
34,-1.501032187,1.431878584,-1.086562893,0.1522736682,0.6964480311,1.585937153,2.307858804
35,-1.495870443,1.459955534,-1.151257816,0.1413489087,0.8029165385,1.507999776,2.364773386
36,-1.493029852,1.514253307,-1.103023631,0.2358072199,0.8271234983,1.536658207,2.316116864
37,-1.471514333,1.495249354,-1.167366563,0.1954539866,0.7704926695,1.563648196,2.209269064
38,-1.537413832,1.506958351,-1.155539635,0.1835694283,0.6913953399,1.565232589,2.34417791
39,-1.488174587,1.468134987,-1.11363288,0.2209489428,0.7654301514,1.531880645,2.353224135
40,-1.538672782,1.44089171,-1.033969874,0.1595516779,0.7605726879,1.452458627,2.300487188
41,-1.517025731,1.433053479,-1.065649073,0.1670420693,0.7128814811,1.533734088,2.273923464
42,-1.516856662,1.530081319,-0.9414203974,0.1706888911,0.7513170715,1.556454011,2.303890278
43,-1.488333702,1.435780857,-1.06958562,0.2016614863,0.7161246195,1.538207104,2.367185975
44,-1.475637554,1.450714948,-1.082661678,0.2524262735,0.7907029806,1.549522941,2.270744829
45,-1.522403515,1.501633905,-1.154070062,0.1426906564,0.7292347928,1.511856158,2.289872701
46,-1.507005799,1.478183132,-1.090025234,0.1938984656,0.7397554903,1.539744105,2.382982279
47,-1.502630503,1.396778461,-1.072295505,0.2513704682,0.8263769748,1.574380916,2.403664367
48,-1.52781558,1.429409528,-0.9417113345,0.212871387,0.7923939305,1.48011596,2.318126855
49,-1.504951325,1.44529649,-1.057065661,0.221129851,0.7906792188,1.56303551,2.363448644
50,-1.502334607,1.514917592,-1.105313557,0.2261200891,0.7338460996,1.639586411,2.402972537
51,-1.558096274,1.433980698,-1.002617987,0.1982012141,0.740389834,1.535546714,2.333835043
52,-1.566925443,1.422861323,-1.031860989,0.2596893967,0.8065331546,1.57121743,2.30442829
53,-1.528189795,1.432052167,-0.9698990196,0.2064502704,0.8328277547,1.507568171,2.312742395
54,-1.475856755,1.436133696,-1.085616775,0.08128436184,0.7129130123,1.456393302,2.396325785
55,-1.536893235,1.427484104,-1.060263869,0.155497527,0.846195451,1.562695002,2.282895884
56,-1.520820963,1.444478154,-1.031781372,0.2202238386,0.7783835487,1.507674436,2.313158524
57,-1.538054304,1.471738173,-1.153547618,0.1159034801,0.8768931879,1.568202498,2.301615541
58,-1.530768517,1.437458032,-1.109294256,0.1012945152,0.8010052529,1.598502305,2.458919302
59,-1.498376638,1.442693963,-1.132056734,0.1730607019,0.6991684592,1.53436465,2.325186275
60,-1.511769406,1.423633293,-1.115133547,0.2076068382,0.7655657321,1.564328638,2.392600267
61,-1.539865923,1.322050747,-1.059048122,0.1592609897,0.855005411,1.515864271,2.274785534
62,-1.545767203,1.399507177,-1.06271273,0.1663197717,0.7705140972,1.593585702,2.3450341
63,-1.544603633,1.356342559,-1.07681348,0.2149674095,0.7526843886,1.518140972,2.42447704
64,-1.53820768,1.366781163,-1.146543629,0.1735031863,0.7097042278,1.46951138,2.33075744
65,-1.548337167,1.394542216,-1.10051096,0.1503636309,0.7172517235,1.45391673,2.342378946
66,-1.56263513,1.492387296,-1.089368753,0.2126899734,0.7073199537,1.441904525,2.379735411
67,-1.510968347,1.497950252,-1.147554853,0.1149893901,0.8232739733,1.368581628,2.392771984
68,-1.538709894,1.42737019,-1.147367644,0.1482339104,0.8332517961,1.559618449,2.346648695
69,-1.568094387,1.405578215,-1.147682472,0.08942676297,0.8812489934,1.608050655,2.41225851
70,-1.533881219,1.507957587,-1.165119282,0.18458327,0.7512736427,1.564318626,2.337197325
71,-1.520214363,1.388944788,-1.094693105,0.1280137281,0.763169898,1.510179815,2.385056363
72,-1.510587489,1.381307203,-1.135748423,0.214531703,0.8973310976,1.515038225,2.409034161
73,-1.521578464,1.483362495,-1.113668974,0.09817448567,0.8300950699,1.52607348,2.38360034
74,-1.594757852,1.418060925,-1.173123087,0.1257290086,0.7521418644,1.465197669,2.338165546
