"iteration","lambda1","lambda2"
1,0.304912749686039,0.61462158709559
2,0.303997865011986,0.61216067316195
3,0.296391207921593,0.617829814325316
4,0.298585228964141,0.609015254413406
5,0.293524466969123,0.605386755240733
6,0.299247534431564,0.60334855915102
7,0.305473102290537,0.600985901981142
8,0.305473102290537,0.600985901981142
9,0.305473102290537,0.600985901981142
10,0.308995113047826,0.606350997228474
11,0.30004325635661,0.599563126685125
12,0.294782078483622,0.585416576353898
13,0.294782078483622,0.585416576353898
14,0.316598010707949,0.580359788634261
15,0.316731979779227,0.583660364325389
16,0.306844812153802,0.592760285908979
17,0.309456425055536,0.59766751277619
18,0.31134650634966,0.585788956798422
19,0.31134650634966,0.585788956798422
20,0.3131391938948,0.594104322802824
21,0.302023831126785,0.578391706530525
22,0.302023831126785,0.578391706530525
23,0.302405889123339,0.583177729132592
24,0.30468975280628,0.585378812901029
25,0.295120320523134,0.594655554793765
26,0.292199854090345,0.602203403135835
27,0.302495938621,0.598626158762074
28,0.302495938621,0.598626158762074
29,0.302495938621,0.598626158762074
30,0.285903800408179,0.609018800582518
31,0.290472406482663,0.610788983493662
32,0.295933868946753,0.604758077970365
33,0.304343031820845,0.60507151474083
34,0.304343031820845,0.60507151474083
35,0.296765183673672,0.604241687331284
36,0.29593464165722,0.608331435390385
37,0.292813312561775,0.598086244178587
38,0.292813312561775,0.598086244178587
39,0.313481986892168,0.611120878462108
40,0.310827727697463,0.607225623719582
41,0.311200338408935,0.599658069509716
42,0.308426477323183,0.599077174575445
43,0.310667158601338,0.585004579295124
44,0.309325422308999,0.58490408323598
45,0.32001327795781,0.5680268105043
46,0.320598231508435,0.573113610013062
47,0.318011758775062,0.573043308883022
48,0.318011758775062,0.573043308883022
49,0.328522795276894,0.577669050632871
50,0.320840191154808,0.559490410666473
51,0.324017620014422,0.552334351788386
52,0.315830288101212,0.54078117609122
53,0.314333842191873,0.53799039142535
54,0.308319692453845,0.539410585053432
55,0.303423654271633,0.539410718740275
